Dataset,Record_ID,Field,Issue,Severity,Status
Customer,202834,Age,Missing age,Medium,Review
Customer,202853,Age,Missing age,Medium,Review
Customer,202855,Age,Missing age,Medium,Review
Customer,202874,Age,Missing age,Medium,Review
Customer,202889,Age,Missing age,Medium,Review
Customer,202895,Age,Missing age,Medium,Review
Customer,202902,Age,Missing age,Medium,Review
Customer,202903,Age,Missing age,Medium,Review
Customer,202914,Age,Missing age,Medium,Review
Customer,202960,Age,Missing age,Medium,Review
Customer,202969,Age,Missing age,Medium,Review
Customer,202979,Age,Missing age,Medium,Review
Customer,202984,Age,Missing age,Medium,Review
Customer,203011,Age,Missing age,Medium,Review
Customer,203019,Age,Missing age,Medium,Review
Customer,203020,Age,Missing age,Medium,Review
Customer,203025,Age,Missing age,Medium,Review
Customer,203052,Age,Missing age,Medium,Review
Customer,203090,Age,Missing age,Medium,Review
Customer,203095,Age,Missing age,Medium,Review
Customer,203136,Age,Missing age,Medium,Review
Customer,203149,Age,Missing age,Medium,Review
Customer,203172,Age,Missing age,Medium,Review
Customer,203191,Age,Missing age,Medium,Review
Customer,203221,Age,Missing age,Medium,Review
Customer,203236,Age,Missing age,Medium,Review
Customer,203267,Age,Missing age,Medium,Review
Customer,203268,Age,Missing age,Medium,Review
Customer,203272,Age,Missing age,Medium,Review
Customer,203314,Age,Missing age,Medium,Review
Customer,203374,Age,Missing age,Medium,Review
Customer,203396,Age,Missing age,Medium,Review
Customer,203444,Age,Missing age,Medium,Review
Customer,203508,Age,Missing age,Medium,Review
Customer,203521,Age,Missing age,Medium,Review
Customer,203523,Age,Missing age,Medium,Review
Customer,203565,Age,Missing age,Medium,Review
Customer,203671,Age,Missing age,Medium,Review
Customer,203717,Age,Missing age,Medium,Review
Customer,203779,Age,Missing age,Medium,Review
Customer,203780,Age,Missing age,Medium,Review
Customer,203874,Age,Missing age,Medium,Review
Customer,203882,Age,Missing age,Medium,Review
Customer,203891,Age,Missing age,Medium,Review
Customer,203907,Age,Missing age,Medium,Review
Customer,203909,Age,Missing age,Medium,Review
Customer,203911,Age,Missing age,Medium,Review
Customer,203918,Age,Missing age,Medium,Review
Customer,203941,Age,Missing age,Medium,Review
Customer,203958,Age,Missing age,Medium,Review
Customer,203976,Age,Missing age,Medium,Review
Customer,203986,Age,Missing age,Medium,Review
Customer,203995,Age,Missing age,Medium,Review
Customer,204015,Age,Missing age,Medium,Review
Customer,204021,Age,Missing age,Medium,Review
Customer,204120,Age,Missing age,Medium,Review
Customer,204162,Age,Missing age,Medium,Review
Customer,204163,Age,Missing age,Medium,Review
Customer,204184,Age,Missing age,Medium,Review
Customer,204200,Age,Missing age,Medium,Review
Customer,204219,Age,Missing age,Medium,Review
Customer,204246,Age,Missing age,Medium,Review
Customer,204248,Age,Missing age,Medium,Review
Customer,204264,Age,Missing age,Medium,Review
Customer,204273,Age,Missing age,Medium,Review
Customer,204292,Age,Missing age,Medium,Review
Customer,204328,Age,Missing age,Medium,Review
Customer,204332,Age,Missing age,Medium,Review
Customer,204340,Age,Missing age,Medium,Review
Customer,204363,Age,Missing age,Medium,Review
Customer,204398,Age,Missing age,Medium,Review
Customer,204407,Age,Missing age,Medium,Review
Customer,204411,Age,Missing age,Medium,Review
Customer,204481,Age,Missing age,Medium,Review
Customer,204488,Age,Missing age,Medium,Review
Customer,204529,Age,Missing age,Medium,Review
Customer,204539,Age,Missing age,Medium,Review
Customer,204585,Age,Missing age,Medium,Review
Customer,204611,Age,Missing age,Medium,Review
Customer,204642,Age,Missing age,Medium,Review
Customer,204669,Age,Missing age,Medium,Review
Customer,204671,Age,Missing age,Medium,Review
Customer,204681,Age,Missing age,Medium,Review
Customer,204685,Age,Missing age,Medium,Review
Customer,204686,Age,Missing age,Medium,Review
Customer,204706,Age,Missing age,Medium,Review
Customer,204716,Age,Missing age,Medium,Review
Customer,204718,Age,Missing age,Medium,Review
Customer,204719,Age,Missing age,Medium,Review
Customer,204732,Age,Missing age,Medium,Review
Customer,204746,Age,Missing age,Medium,Review
Customer,204759,Age,Missing age,Medium,Review
Customer,204765,Age,Missing age,Medium,Review
Customer,204878,Age,Missing age,Medium,Review
Customer,204889,Age,Missing age,Medium,Review
Customer,204894,Age,Missing age,Medium,Review
Customer,204910,Age,Missing age,Medium,Review
Customer,204934,Age,Missing age,Medium,Review
Customer,204938,Age,Missing age,Medium,Review
Customer,204965,Age,Missing age,Medium,Review
Customer,204994,Age,Missing age,Medium,Review
Customer,205042,Age,Missing age,Medium,Review
Customer,205056,Age,Missing age,Medium,Review
Customer,205077,Age,Missing age,Medium,Review
Customer,205084,Age,Missing age,Medium,Review
Customer,205146,Age,Missing age,Medium,Review
Customer,205158,Age,Missing age,Medium,Review
Customer,205186,Age,Missing age,Medium,Review
Customer,205195,Age,Missing age,Medium,Review
Customer,205203,Age,Missing age,Medium,Review
Customer,205233,Age,Missing age,Medium,Review
Customer,205251,Age,Missing age,Medium,Review
Customer,205274,Age,Missing age,Medium,Review
Customer,205276,Age,Missing age,Medium,Review
Customer,205280,Age,Missing age,Medium,Review
Customer,205344,Age,Missing age,Medium,Review
Customer,205348,Age,Missing age,Medium,Review
Customer,205374,Age,Missing age,Medium,Review
Customer,205454,Age,Missing age,Medium,Review
Customer,205460,Age,Missing age,Medium,Review
Customer,205504,Age,Missing age,Medium,Review
Customer,205505,Age,Missing age,Medium,Review
Customer,205512,Age,Missing age,Medium,Review
Customer,205523,Age,Missing age,Medium,Review
Customer,205583,Age,Missing age,Medium,Review
Customer,205599,Age,Missing age,Medium,Review
Customer,205664,Age,Missing age,Medium,Review
Customer,205705,Age,Missing age,Medium,Review
Customer,205709,Age,Missing age,Medium,Review
Customer,205713,Age,Missing age,Medium,Review
Customer,205731,Age,Missing age,Medium,Review
Customer,205740,Age,Missing age,Medium,Review
Customer,205741,Age,Missing age,Medium,Review
Customer,205768,Age,Missing age,Medium,Review
Customer,205769,Age,Missing age,Medium,Review
Customer,205788,Age,Missing age,Medium,Review
Customer,205804,Age,Missing age,Medium,Review
Customer,205805,Age,Missing age,Medium,Review
Customer,205810,Age,Missing age,Medium,Review
Customer,205823,Age,Missing age,Medium,Review
Customer,205824,Age,Missing age,Medium,Review
Customer,205832,Age,Missing age,Medium,Review
Customer,205837,Age,Missing age,Medium,Review
Customer,205865,Age,Missing age,Medium,Review
Customer,205891,Age,Missing age,Medium,Review
Customer,205899,Age,Missing age,Medium,Review
Customer,205931,Age,Missing age,Medium,Review
Customer,205974,Age,Missing age,Medium,Review
Customer,205979,Age,Missing age,Medium,Review
Customer,205987,Age,Missing age,Medium,Review
Customer,205989,Age,Missing age,Medium,Review
Customer,205992,Age,Missing age,Medium,Review
Customer,205993,Age,Missing age,Medium,Review
Customer,206011,Age,Missing age,Medium,Review
Customer,206062,Age,Missing age,Medium,Review
Customer,206063,Age,Missing age,Medium,Review
Customer,206077,Age,Missing age,Medium,Review
Customer,206089,Age,Missing age,Medium,Review
Customer,206090,Age,Missing age,Medium,Review
Customer,206114,Age,Missing age,Medium,Review
Customer,206128,Age,Missing age,Medium,Review
Customer,206157,Age,Missing age,Medium,Review
Customer,206185,Age,Missing age,Medium,Review
Customer,206203,Age,Missing age,Medium,Review
Customer,206223,Age,Missing age,Medium,Review
Customer,206251,Age,Missing age,Medium,Review
Customer,206255,Age,Missing age,Medium,Review
Customer,206281,Age,Missing age,Medium,Review
Customer,206284,Age,Missing age,Medium,Review
Customer,206287,Age,Missing age,Medium,Review
Customer,206294,Age,Missing age,Medium,Review
Customer,206298,Age,Missing age,Medium,Review
Customer,206331,Age,Missing age,Medium,Review
Customer,206347,Age,Missing age,Medium,Review
Customer,206365,Age,Missing age,Medium,Review
Customer,206443,Age,Missing age,Medium,Review
Customer,206491,Age,Missing age,Medium,Review
Customer,206517,Age,Missing age,Medium,Review
Customer,206530,Age,Missing age,Medium,Review
Customer,206532,Age,Missing age,Medium,Review
Customer,206536,Age,Missing age,Medium,Review
Customer,206543,Age,Missing age,Medium,Review
Customer,206553,Age,Missing age,Medium,Review
Customer,206607,Age,Missing age,Medium,Review
Customer,206609,Age,Missing age,Medium,Review
Customer,206613,Age,Missing age,Medium,Review
Customer,206653,Age,Missing age,Medium,Review
Customer,206654,Age,Missing age,Medium,Review
Customer,206668,Age,Missing age,Medium,Review
Customer,206685,Age,Missing age,Medium,Review
Customer,206719,Age,Missing age,Medium,Review
Customer,206723,Age,Missing age,Medium,Review
Customer,206734,Age,Missing age,Medium,Review
Customer,206748,Age,Missing age,Medium,Review
Customer,206764,Age,Missing age,Medium,Review
Customer,206772,Age,Missing age,Medium,Review
Customer,206785,Age,Missing age,Medium,Review
Customer,206806,Age,Missing age,Medium,Review
Customer,206814,Age,Missing age,Medium,Review
Customer,206827,Age,Missing age,Medium,Review
Customer,206832,Age,Missing age,Medium,Review
Customer,206848,Age,Missing age,Medium,Review
Customer,206860,Age,Missing age,Medium,Review
Customer,206876,Age,Missing age,Medium,Review
Customer,206880,Age,Missing age,Medium,Review
Customer,206901,Age,Missing age,Medium,Review
Customer,206926,Age,Missing age,Medium,Review
Customer,206936,Age,Missing age,Medium,Review
Customer,206948,Age,Missing age,Medium,Review
Customer,206959,Age,Missing age,Medium,Review
Customer,207010,Age,Missing age,Medium,Review
Customer,207043,Age,Missing age,Medium,Review
Customer,207055,Age,Missing age,Medium,Review
Customer,207060,Age,Missing age,Medium,Review
Customer,207092,Age,Missing age,Medium,Review
Customer,207095,Age,Missing age,Medium,Review
Customer,207126,Age,Missing age,Medium,Review
Customer,207149,Age,Missing age,Medium,Review
Customer,207151,Age,Missing age,Medium,Review
Customer,207167,Age,Missing age,Medium,Review
Customer,207192,Age,Missing age,Medium,Review
Customer,207240,Age,Missing age,Medium,Review
Customer,207249,Age,Missing age,Medium,Review
Customer,207266,Age,Missing age,Medium,Review
Customer,207340,Age,Missing age,Medium,Review
Customer,207348,Age,Missing age,Medium,Review
Customer,207371,Age,Missing age,Medium,Review
Customer,207389,Age,Missing age,Medium,Review
Customer,207406,Age,Missing age,Medium,Review
Customer,207410,Age,Missing age,Medium,Review
Customer,207416,Age,Missing age,Medium,Review
Customer,207481,Age,Missing age,Medium,Review
Customer,207494,Age,Missing age,Medium,Review
Customer,207497,Age,Missing age,Medium,Review
Customer,207510,Age,Missing age,Medium,Review
Customer,207513,Age,Missing age,Medium,Review
Customer,207532,Age,Missing age,Medium,Review
Customer,207535,Age,Missing age,Medium,Review
Customer,207545,Age,Missing age,Medium,Review
Customer,207568,Age,Missing age,Medium,Review
Customer,207587,Age,Missing age,Medium,Review
Customer,207601,Age,Missing age,Medium,Review
Customer,207651,Age,Missing age,Medium,Review
Customer,207692,Age,Missing age,Medium,Review
Customer,207729,Age,Missing age,Medium,Review
Customer,207755,Age,Missing age,Medium,Review
Customer,207759,Age,Missing age,Medium,Review
Customer,207770,Age,Missing age,Medium,Review
Customer,207771,Age,Missing age,Medium,Review
Customer,207779,Age,Missing age,Medium,Review
Customer,207794,Age,Missing age,Medium,Review
Customer,207816,Age,Missing age,Medium,Review
Customer,207901,Age,Missing age,Medium,Review
Customer,207933,Age,Missing age,Medium,Review
Customer,207979,Age,Missing age,Medium,Review
Customer,207995,Age,Missing age,Medium,Review
Customer,208010,Age,Missing age,Medium,Review
Customer,208047,Age,Missing age,Medium,Review
Customer,208051,Age,Missing age,Medium,Review
Customer,208135,Age,Missing age,Medium,Review
Customer,208139,Age,Missing age,Medium,Review
Customer,208172,Age,Missing age,Medium,Review
Customer,208200,Age,Missing age,Medium,Review
Customer,208251,Age,Missing age,Medium,Review
Customer,208255,Age,Missing age,Medium,Review
Customer,208268,Age,Missing age,Medium,Review
Customer,208280,Age,Missing age,Medium,Review
Customer,208289,Age,Missing age,Medium,Review
Customer,208293,Age,Missing age,Medium,Review
Customer,208298,Age,Missing age,Medium,Review
Customer,208308,Age,Missing age,Medium,Review
Customer,208340,Age,Missing age,Medium,Review
Customer,208342,Age,Missing age,Medium,Review
Customer,208348,Age,Missing age,Medium,Review
Customer,208368,Age,Missing age,Medium,Review
Customer,208378,Age,Missing age,Medium,Review
Customer,208412,Age,Missing age,Medium,Review
Customer,208414,Age,Missing age,Medium,Review
Customer,208451,Age,Missing age,Medium,Review
Customer,208470,Age,Missing age,Medium,Review
Customer,208472,Age,Missing age,Medium,Review
Customer,208491,Age,Missing age,Medium,Review
Customer,208538,Age,Missing age,Medium,Review
Customer,208544,Age,Missing age,Medium,Review
Customer,208546,Age,Missing age,Medium,Review
Customer,208611,Age,Missing age,Medium,Review
Customer,208630,Age,Missing age,Medium,Review
Customer,208656,Age,Missing age,Medium,Review
Customer,208658,Age,Missing age,Medium,Review
Customer,208675,Age,Missing age,Medium,Review
Customer,208688,Age,Missing age,Medium,Review
Customer,208697,Age,Missing age,Medium,Review
Customer,208717,Age,Missing age,Medium,Review
Customer,208727,Age,Missing age,Medium,Review
Customer,208749,Age,Missing age,Medium,Review
Customer,208756,Age,Missing age,Medium,Review
Customer,208783,Age,Missing age,Medium,Review
Customer,208785,Age,Missing age,Medium,Review
Customer,208788,Age,Missing age,Medium,Review
Customer,208791,Age,Missing age,Medium,Review
Customer,208817,Age,Missing age,Medium,Review
Customer,208825,Age,Missing age,Medium,Review
Customer,208841,Age,Missing age,Medium,Review
Customer,208857,Age,Missing age,Medium,Review
Customer,208923,Age,Missing age,Medium,Review
Customer,208941,Age,Missing age,Medium,Review
Customer,208953,Age,Missing age,Medium,Review
Customer,208954,Age,Missing age,Medium,Review
Customer,209005,Age,Missing age,Medium,Review
Customer,209028,Age,Missing age,Medium,Review
Customer,209082,Age,Missing age,Medium,Review
Customer,209125,Age,Missing age,Medium,Review
Customer,209168,Age,Missing age,Medium,Review
Customer,209183,Age,Missing age,Medium,Review
Customer,209195,Age,Missing age,Medium,Review
Customer,209204,Age,Missing age,Medium,Review
Customer,209257,Age,Missing age,Medium,Review
Customer,209266,Age,Missing age,Medium,Review
Customer,209273,Age,Missing age,Medium,Review
Customer,209286,Age,Missing age,Medium,Review
Customer,209299,Age,Missing age,Medium,Review
Customer,209309,Age,Missing age,Medium,Review
Customer,209327,Age,Missing age,Medium,Review
Customer,209330,Age,Missing age,Medium,Review
Customer,209351,Age,Missing age,Medium,Review
Customer,209370,Age,Missing age,Medium,Review
Customer,209388,Age,Missing age,Medium,Review
Customer,209393,Age,Missing age,Medium,Review
Customer,209433,Age,Missing age,Medium,Review
Customer,209445,Age,Missing age,Medium,Review
Customer,209449,Age,Missing age,Medium,Review
Customer,209463,Age,Missing age,Medium,Review
Customer,209488,Age,Missing age,Medium,Review
Customer,209500,Age,Missing age,Medium,Review
Customer,209512,Age,Missing age,Medium,Review
Customer,209559,Age,Missing age,Medium,Review
Customer,209566,Age,Missing age,Medium,Review
Customer,209611,Age,Missing age,Medium,Review
Customer,209624,Age,Missing age,Medium,Review
Customer,209680,Age,Missing age,Medium,Review
Customer,209696,Age,Missing age,Medium,Review
Customer,209753,Age,Missing age,Medium,Review
Customer,209793,Age,Missing age,Medium,Review
Customer,209797,Age,Missing age,Medium,Review
Customer,209815,Age,Missing age,Medium,Review
Customer,209827,Age,Missing age,Medium,Review
Customer,209828,Age,Missing age,Medium,Review
Customer,209839,Age,Missing age,Medium,Review
Customer,209853,Age,Missing age,Medium,Review
Customer,209875,Age,Missing age,Medium,Review
Customer,209907,Age,Missing age,Medium,Review
Customer,209929,Age,Missing age,Medium,Review
Customer,209935,Age,Missing age,Medium,Review
Customer,209936,Age,Missing age,Medium,Review
Customer,209960,Age,Missing age,Medium,Review
Customer,209970,Age,Missing age,Medium,Review
Customer,209974,Age,Missing age,Medium,Review
Customer,200001,Customer_Type,Missing customer type,Medium,Review
Customer,200028,Customer_Type,Missing customer type,Medium,Review
Customer,200075,Customer_Type,Missing customer type,Medium,Review
Customer,200090,Customer_Type,Missing customer type,Medium,Review
Customer,200105,Customer_Type,Missing customer type,Medium,Review
Customer,200108,Customer_Type,Missing customer type,Medium,Review
Customer,200172,Customer_Type,Missing customer type,Medium,Review
Customer,200181,Customer_Type,Missing customer type,Medium,Review
Customer,200197,Customer_Type,Missing customer type,Medium,Review
Customer,200251,Customer_Type,Missing customer type,Medium,Review
Customer,200253,Customer_Type,Missing customer type,Medium,Review
Customer,200256,Customer_Type,Missing customer type,Medium,Review
Customer,200261,Customer_Type,Missing customer type,Medium,Review
Customer,200273,Customer_Type,Missing customer type,Medium,Review
Customer,200277,Customer_Type,Missing customer type,Medium,Review
Customer,200280,Customer_Type,Missing customer type,Medium,Review
Customer,200298,Customer_Type,Missing customer type,Medium,Review
Customer,200322,Customer_Type,Missing customer type,Medium,Review
Customer,200372,Customer_Type,Missing customer type,Medium,Review
Customer,200374,Customer_Type,Missing customer type,Medium,Review
Customer,200419,Customer_Type,Missing customer type,Medium,Review
Customer,200428,Customer_Type,Missing customer type,Medium,Review
Customer,200438,Customer_Type,Missing customer type,Medium,Review
Customer,200450,Customer_Type,Missing customer type,Medium,Review
Customer,200463,Customer_Type,Missing customer type,Medium,Review
Customer,200467,Customer_Type,Missing customer type,Medium,Review
Customer,200484,Customer_Type,Missing customer type,Medium,Review
Customer,200486,Customer_Type,Missing customer type,Medium,Review
Customer,200516,Customer_Type,Missing customer type,Medium,Review
Customer,200536,Customer_Type,Missing customer type,Medium,Review
Customer,200557,Customer_Type,Missing customer type,Medium,Review
Customer,200572,Customer_Type,Missing customer type,Medium,Review
Customer,200576,Customer_Type,Missing customer type,Medium,Review
Customer,200582,Customer_Type,Missing customer type,Medium,Review
Customer,200614,Customer_Type,Missing customer type,Medium,Review
Customer,200663,Customer_Type,Missing customer type,Medium,Review
Customer,200719,Customer_Type,Missing customer type,Medium,Review
Customer,200746,Customer_Type,Missing customer type,Medium,Review
Customer,200777,Customer_Type,Missing customer type,Medium,Review
Customer,200848,Customer_Type,Missing customer type,Medium,Review
Customer,200855,Customer_Type,Missing customer type,Medium,Review
Customer,200856,Customer_Type,Missing customer type,Medium,Review
Customer,200865,Customer_Type,Missing customer type,Medium,Review
Customer,200869,Customer_Type,Missing customer type,Medium,Review
Customer,200881,Customer_Type,Missing customer type,Medium,Review
Customer,200902,Customer_Type,Missing customer type,Medium,Review
Customer,200919,Customer_Type,Missing customer type,Medium,Review
Customer,200920,Customer_Type,Missing customer type,Medium,Review
Customer,200928,Customer_Type,Missing customer type,Medium,Review
Customer,200929,Customer_Type,Missing customer type,Medium,Review
Customer,200936,Customer_Type,Missing customer type,Medium,Review
Customer,200937,Customer_Type,Missing customer type,Medium,Review
Customer,200942,Customer_Type,Missing customer type,Medium,Review
Customer,201002,Customer_Type,Missing customer type,Medium,Review
Customer,201018,Customer_Type,Missing customer type,Medium,Review
