Branch_ID,City,Region,Customers,Transactions,Transaction_Value,Investment_Value,Firm_Revenue,Expenses,Profit_Margin
1006,Nashik,West,1,2,3829.0,71883,96520.0,273124,19.48
1006,Solapur,South,2,3,9741.0,49503,96520.0,273124,19.48
1007,Kolhapur,South,1,2,5310.0,58417,427163.0,111053,-9.09
1007,Kolhapur,West,1,1,4918.0,42673,427163.0,111053,-9.09
1007,Mumbai,North,1,1,104.0,12974,427163.0,111053,-9.09
1007,Mumbai,West,1,1,2656.0,8207,427163.0,111053,-9.09
1007,Pune,South,1,1,3582.0,31624,427163.0,111053,-9.09
1007,Solapur,West,1,3,7302.0,75182,427163.0,111053,-9.09
1008,Mumbai,North,1,1,1521.0,29471,,59920,-5.94
1008,Pune,South,1,1,3546.0,24433,,59920,-5.94
1008,Solapur,South,1,1,2645.0,3353,,59920,-5.94
1009,Kolhapur,South,1,3,4766.0,113753,690932.0,44992,56.47
1009,Nagpur,South,1,2,7496.0,62611,690932.0,44992,56.47
1009,Pune,West,1,2,4936.0,46832,690932.0,44992,56.47
1010,Nagpur,East,1,1,3355.0,6703,936640.0,226126,-18.9
1010,Nagpur,West,1,2,4850.0,44518,936640.0,226126,-18.9
1010,Nashik,East,2,5,15808.0,48631,936640.0,226126,-18.9
1010,Nashik,North,2,3,8351.0,101197,936640.0,226126,-18.9
1010,Nashik,South,1,1,1771.0,33940,936640.0,226126,-18.9
1010,Pune,East,2,3,8999.0,81856,936640.0,226126,-18.9
1010,Pune,South,1,1,965.0,7674,936640.0,226126,-18.9
1010,Solapur,West,1,1,2943.0,37455,936640.0,226126,-18.9
1011,Kolhapur,South,1,2,3580.0,48659,257505.0,483161,65.12
1011,Mumbai,West,2,2,5076.0,14276,257505.0,483161,65.12
1011,Nashik,North,1,1,4802.0,36038,257505.0,483161,65.12
1011,Solapur,North,1,1,2770.0,38383,257505.0,483161,65.12
1011,Solapur,South,1,1,439.0,13097,257505.0,483161,65.12
1012,Kolhapur,East,1,1,1401.0,36607,969777.0,347637,-11.4
1012,Kolhapur,North,1,2,4801.0,51951,969777.0,347637,-11.4
1012,Nagpur,North,1,1,2916.0,36919,969777.0,347637,-11.4
1012,Solapur,West,1,1,2898.0,25485,969777.0,347637,-11.4
1013,Kolhapur,East,1,1,927.0,37404,214437.0,52323,10.97
1013,Kolhapur,South,1,1,2356.0,30155,214437.0,52323,10.97
1013,Kolhapur,West,1,1,4107.0,28231,214437.0,52323,10.97
1013,Mumbai,South,1,2,3764.0,58699,214437.0,52323,10.97
1013,Nagpur,South,1,1,3694.0,31874,214437.0,52323,10.97
1013,Nashik,South,1,1,2023.0,13757,214437.0,52323,10.97
1013,Nashik,West,1,4,11109.0,103406,214437.0,52323,10.97
1013,Pune,North,1,2,3846.0,62338,214437.0,52323,10.97
1013,Pune,South,1,1,2221.0,33919,214437.0,52323,10.97
1014,Nashik,East,1,3,8592.0,105692,370373.0,194199,-8.67
1014,Nashik,West,1,2,1145.0,46967,370373.0,194199,-8.67
1014,Solapur,West,1,2,1754.0,71284,370373.0,194199,-8.67
1015,Kolhapur,East,1,2,4991.0,65992,494847.0,394802,73.24
1015,Kolhapur,South,1,2,6091.0,70929,494847.0,394802,73.24
1015,Mumbai,West,2,3,13167.619683,107206,494847.0,394802,73.24
1015,Nagpur,East,1,1,4679.0,41184,494847.0,394802,73.24
1015,Nagpur,South,1,1,2715.0,22803,494847.0,394802,73.24
1015,Pune,North,1,1,3480.0,14145,494847.0,394802,73.24
1015,Pune,West,2,2,5052.0,14351,494847.0,394802,73.24
1015,Solapur,East,1,2,5327.0,53635,494847.0,394802,73.24
1015,Solapur,South,1,4,12282.0,74918,494847.0,394802,73.24
1016,Kolhapur,West,1,1,640.0,29699,366811.0,326818,9.12
1016,Mumbai,East,1,3,7956.0,117834,366811.0,326818,9.12
1016,Mumbai,North,1,1,2820.0,12033,366811.0,326818,9.12
1016,Mumbai,West,1,1,2910.0,21879,366811.0,326818,9.12
1016,Nashik,South,1,1,735.0,17841,366811.0,326818,9.12
1017,Mumbai,South,2,4,8565.0,124794,658552.0,280743,96.78
1017,Nagpur,East,1,1,3034.0,16220,658552.0,280743,96.78
1017,Nashik,West,1,1,305.0,42149,658552.0,280743,96.78
1017,Solapur,East,1,2,7631.0,12738,658552.0,280743,96.78
1018,Kolhapur,West,2,2,4885.0,51918,938738.0,218097,40.11
1018,Nagpur,East,1,4,11518.0,63362,938738.0,218097,40.11
1018,Nashik,North,1,2,5789.0,47408,938738.0,218097,40.11
1018,Nashik,West,1,3,5731.6594539,65047,938738.0,218097,40.11
1018,Pune,North,1,3,4780.0,89942,938738.0,218097,40.11
1018,Solapur,East,1,2,3897.224883,58875,938738.0,218097,40.11
1019,Mumbai,North,1,3,5667.0,106324,112412.0,219553,-47.5
1019,Nagpur,South,1,1,1185.0,41139,112412.0,219553,-47.5
1019,Solapur,East,2,2,2187.0,54428,112412.0,219553,-47.5
1019,Solapur,West,1,1,2925.0,2437,112412.0,219553,-47.5
1020,Kolhapur,North,1,1,2863.0,49582,928809.0,456732,72.27
1020,Mumbai,East,1,1,4078.0,38540,928809.0,456732,72.27
1020,Mumbai,South,1,1,1609.741727,2671,928809.0,456732,72.27
1020,Mumbai,West,1,2,6307.0,51910,928809.0,456732,72.27
1020,Nashik,West,1,1,1907.382567,43417,928809.0,456732,72.27
1021,Kolhapur,East,1,2,3530.0,38172,718065.0,104070,53.39
1021,Kolhapur,West,1,4,9901.0,178125,718065.0,104070,53.39
1021,Mumbai,West,1,2,5173.0,40848,718065.0,104070,53.39
1021,Nagpur,South,1,3,7508.0,70072,718065.0,104070,53.39
1021,Nashik,East,1,2,6974.0,10338,718065.0,104070,53.39
1021,Pune,North,1,1,3178.0,48132,718065.0,104070,53.39
1021,Solapur,South,1,1,2557.0,39874,718065.0,104070,53.39
1022,Kolhapur,North,1,1,2362.0,40486,948252.0,264169,-11.58
1022,Kolhapur,South,1,1,898.0,27768,948252.0,264169,-11.58
1022,Kolhapur,West,1,1,4881.0,14772,948252.0,264169,-11.58
1022,Nagpur,East,1,3,5342.0,35430,948252.0,264169,-11.58
1022,Nagpur,South,1,3,6037.0,25227,948252.0,264169,-11.58
1022,Pune,East,1,1,2767.0,29860,948252.0,264169,-11.58
1022,Pune,South,1,1,3062.0,37556,948252.0,264169,-11.58
1022,Solapur,West,1,1,2832.0,16608,948252.0,264169,-11.58
1023,Kolhapur,North,1,2,3256.0,39980,141055.0,264179,-9.72
1023,Mumbai,East,1,2,2970.0,46903,141055.0,264179,-9.72
1023,Mumbai,South,1,1,1631.0,39128,141055.0,264179,-9.72
1023,Mumbai,West,1,2,6527.0,38246,141055.0,264179,-9.72
1023,Nagpur,East,1,1,3785.0,41433,141055.0,264179,-9.72
1023,Nagpur,North,1,1,2876.0,38881,141055.0,264179,-9.72
1023,Nagpur,South,1,2,7752.0,81476,141055.0,264179,-9.72
1023,Nashik,East,1,1,2256.0,13962,141055.0,264179,-9.72
1023,Nashik,South,1,2,2704.0,71197,141055.0,264179,-9.72
1023,Nashik,West,1,2,5913.0,11016,141055.0,264179,-9.72
1023,Solapur,South,1,1,3279.0,6278,141055.0,264179,-9.72
1024,Nagpur,West,1,2,3422.0,24634,453778.0,239635,23.83
1024,Nashik,East,1,2,7969.0,85221,453778.0,239635,23.83
1024,Nashik,North,1,1,2503.0,18994,453778.0,239635,23.83
1024,Pune,East,1,3,10257.0,104713,453778.0,239635,23.83
1024,Pune,South,1,2,4820.0,36558,453778.0,239635,23.83
1024,Pune,West,2,3,12273.0,108143,453778.0,239635,23.83
1024,Solapur,North,2,3,9364.0,51828,453778.0,239635,23.83
1024,Solapur,West,1,1,3698.0,16128,453778.0,239635,23.83
1025,Kolhapur,North,1,1,4415.0,46476,410506.0,347517,49.96
1025,Kolhapur,South,1,1,1442.0,3441,410506.0,347517,49.96
1025,Mumbai,North,1,1,199.0,14552,410506.0,347517,49.96
1025,Nagpur,East,1,1,4235.0,3026,410506.0,347517,49.96
1025,Nagpur,South,1,1,4598.0,40182,410506.0,347517,49.96
1025,Pune,East,1,1,4469.0,5443,410506.0,347517,49.96
1025,Pune,South,1,2,4127.0,67740,410506.0,347517,49.96
1025,Solapur,East,1,2,4508.0,42258,410506.0,347517,49.96
1025,Solapur,North,1,1,3529.0,10166,410506.0,347517,49.96
1026,Kolhapur,West,1,1,2111.0,4745,173491.0,197880,84.95
1026,Mumbai,East,1,1,255.0,3383,173491.0,197880,84.95
1026,Nagpur,North,1,1,388.0,1283,173491.0,197880,84.95
1026,Nagpur,West,1,1,2477.0,11638,173491.0,197880,84.95
1026,Nashik,East,2,3,9684.0,103851,173491.0,197880,84.95
1026,Nashik,North,1,5,14522.0,98091,173491.0,197880,84.95
1026,Solapur,East,1,1,2793.176969,41894,173491.0,197880,84.95
1026,Solapur,West,1,3,8206.0,83388,173491.0,197880,84.95
1027,Mumbai,West,3,4,16319.0,75452,405516.0,184621,-25.05
1027,Nashik,North,2,4,8232.0,80819,405516.0,184621,-25.05
1027,Pune,North,1,1,653.0,9985,405516.0,184621,-25.05
1027,Pune,West,2,4,7344.0,57556,405516.0,184621,-25.05
1028,Kolhapur,West,1,2,5007.0,38460,301173.0,122217,-24.9
1028,Mumbai,North,1,1,3552.0,29476,301173.0,122217,-24.9
1028,Mumbai,West,1,2,4298.0,44482,301173.0,122217,-24.9
1028,Solapur,North,2,2,4815.0,53403,301173.0,122217,-24.9
1029,Kolhapur,West,1,1,3875.0,39601,637247.0,235181,54.57
1029,Nagpur,West,1,1,4538.0,4353,637247.0,235181,54.57
1029,Pune,North,1,2,3425.0,25734,637247.0,235181,54.57
1029,Pune,West,1,1,1601.0,44660,637247.0,235181,54.57
1029,Solapur,North,1,1,3087.0,2759,637247.0,235181,54.57
1029,Solapur,West,1,2,3647.0,68504,637247.0,235181,54.57
1030,Kolhapur,North,2,4,7603.0,128808,950410.0,483008,-2.32
1030,Mumbai,North,1,2,5651.0,66128,950410.0,483008,-2.32
1030,Mumbai,South,1,2,4508.0,69503,950410.0,483008,-2.32
1030,Mumbai,West,3,5,12827.289675,159887,950410.0,483008,-2.32
1030,Nagpur,South,1,1,430.0,10754,950410.0,483008,-2.32
1030,Nagpur,West,1,1,2131.0,36682,950410.0,483008,-2.32
1030,Nashik,North,1,2,5595.0,58838,950410.0,483008,-2.32
1031,Kolhapur,North,2,2,6855.0,51517,646023.0,117992,-15.94
1031,Mumbai,East,1,3,13135.0,58773,646023.0,117992,-15.94
1031,Mumbai,South,1,1,300.0,10889,646023.0,117992,-15.94
1031,Nashik,South,1,2,7048.979119,66330,646023.0,117992,-15.94
1031,Pune,North,2,4,4782.0,133354,646023.0,117992,-15.94
1031,Pune,West,1,1,2926.0,45352,646023.0,117992,-15.94
1031,Solapur,North,1,1,3237.199937,16014,646023.0,117992,-15.94
1032,Kolhapur,East,2,3,9883.0,38373,722489.0,127639,53.12
1032,Mumbai,North,1,1,2952.0,3054,722489.0,127639,53.12
1032,Mumbai,West,2,3,13154.0,103631,722489.0,127639,53.12
1032,Nagpur,North,1,1,1273.0,48566,722489.0,127639,53.12
1032,Nashik,North,1,2,6072.0,9249,722489.0,127639,53.12
1032,Pune,East,1,1,4224.0,15122,722489.0,127639,53.12
1032,Pune,North,1,2,5889.0,52228,722489.0,127639,53.12
1032,Pune,West,1,2,6420.0,59038,722489.0,127639,53.12
1033,Kolhapur,West,1,1,3917.0,49756,936776.0,90418,-40.93
1033,Nagpur,North,1,1,3327.0,31958,936776.0,90418,-40.93
1033,Pune,South,1,3,11224.0,36493,936776.0,90418,-40.93
1033,Solapur,East,2,2,7963.0,74568,936776.0,90418,-40.93
1034,Kolhapur,East,1,1,1745.0,30549,,131077,29.7
1034,Kolhapur,South,1,1,1461.0,15502,,131077,29.7
1034,Kolhapur,West,1,1,557.0,45088,,131077,29.7
1034,Mumbai,East,1,1,4818.0,27174,,131077,29.7
1034,Mumbai,West,1,2,5761.0,85308,,131077,29.7
1034,Nashik,South,1,1,4602.0,6218,,131077,29.7
1034,Pune,East,1,2,6403.0,61018,,131077,29.7
1034,Pune,West,1,2,5241.991691,76421,,131077,29.7
1034,Solapur,North,1,2,5660.0,62208,,131077,29.7
1035,Kolhapur,North,1,1,3763.0,47863,590919.0,180788,46.09
1035,Nashik,South,2,4,15141.0,42517,590919.0,180788,46.09
1035,Solapur,South,2,3,10829.0,68676,590919.0,180788,46.09
1035,Solapur,West,2,3,7918.0,65731,590919.0,180788,46.09
1036,Mumbai,North,1,1,2299.0,39182,729537.0,225109,7.71
1036,Nagpur,North,1,1,3928.0,1680,729537.0,225109,7.71
1036,Nagpur,West,1,1,3521.0,3353,729537.0,225109,7.71
1036,Nashik,North,1,1,4991.0,15122,729537.0,225109,7.71
1036,Pune,West,1,1,3826.0,22060,729537.0,225109,7.71
1036,Solapur,East,1,2,6471.0,38283,729537.0,225109,7.71
1037,Kolhapur,East,1,2,6767.0,38194,260539.0,433554,-31.14
1037,Kolhapur,North,2,3,7623.0,24260,260539.0,433554,-31.14
1037,Kolhapur,South,1,1,4834.0,38375,260539.0,433554,-31.14
1037,Mumbai,East,1,2,6590.916971000001,72063,260539.0,433554,-31.14
1037,Mumbai,North,2,2,5284.0,53516,260539.0,433554,-31.14
1037,Nashik,East,1,1,579.0,6378,260539.0,433554,-31.14
1037,Nashik,North,1,1,4305.0,37805,260539.0,433554,-31.14
1037,Nashik,West,1,5,12251.0,112762,260539.0,433554,-31.14
1037,Pune,East,1,2,4545.0,43933,260539.0,433554,-31.14
1037,Pune,West,1,1,392.0,13300,260539.0,433554,-31.14
1038,Kolhapur,West,1,2,6492.0,28761,572977.0,405006,1.39
1038,Nagpur,North,1,2,4114.0,66360,572977.0,405006,1.39
1039,Kolhapur,South,1,1,2085.0,6685,286507.0,44379,14.69
1039,Kolhapur,West,1,1,974.0,19628,286507.0,44379,14.69
1039,Mumbai,North,1,1,2529.0,39260,286507.0,44379,14.69
1039,Nagpur,East,1,3,8218.0,52467,286507.0,44379,14.69
1039,Nagpur,North,1,2,8228.0,66635,286507.0,44379,14.69
1039,Pune,West,1,1,1634.0,1395,286507.0,44379,14.69
1039,Solapur,East,1,1,4181.0,35023,286507.0,44379,14.69
1039,Solapur,North,2,4,12844.425488,76163,286507.0,44379,14.69
1040,Mumbai,South,1,1,1654.0,31002,560824.0,293054,-25.83
1040,Nagpur,East,1,3,4577.0,79379,560824.0,293054,-25.83
1040,Nagpur,South,1,3,5437.0,91382,560824.0,293054,-25.83
1040,Solapur,North,1,4,7651.0,105815,560824.0,293054,-25.83
1041,Kolhapur,East,2,2,4729.0,44691,382425.0,407970,23.26
1041,Kolhapur,West,1,3,8324.0,67141,382425.0,407970,23.26
1041,Mumbai,North,1,2,7629.0,65019,382425.0,407970,23.26
1041,Nagpur,East,1,1,4550.0,44976,382425.0,407970,23.26
1041,Nagpur,North,2,3,6078.0,108237,382425.0,407970,23.26
1041,Nashik,West,1,1,2455.0,21840,382425.0,407970,23.26
1041,Pune,South,1,1,1028.330394,28999,382425.0,407970,23.26
1041,Pune,West,1,1,4488.0,1805,382425.0,407970,23.26
1041,Solapur,North,1,2,4966.0,55265,382425.0,407970,23.26
1042,Kolhapur,North,1,1,1021.0,24487,993460.0,488468,0.82
1042,Kolhapur,West,1,3,11017.0,87582,993460.0,488468,0.82
1042,Mumbai,West,1,3,6699.0,106408,993460.0,488468,0.82
1042,Nagpur,East,2,4,8340.0,61267,993460.0,488468,0.82
1042,Nashik,East,2,3,10376.0,44276,993460.0,488468,0.82
1042,Pune,West,1,1,3511.0,18416,993460.0,488468,0.82
1042,Solapur,North,2,2,2410.0,35586,993460.0,488468,0.82
1043,Kolhapur,West,2,4,5904.527279,99663,601854.0,467555,85.0
1043,Nashik,East,1,1,980.0,29863,601854.0,467555,85.0
1043,Pune,East,1,2,5508.0,93631,601854.0,467555,85.0
1044,Nagpur,West,1,1,4275.0,42399,878898.0,192703,-40.35
1044,Nashik,North,2,3,5898.0,122612,878898.0,192703,-40.35
1044,Nashik,South,1,3,2967.0,85422,878898.0,192703,-40.35
1044,Pune,East,1,1,4630.0,43920,878898.0,192703,-40.35
1044,Solapur,East,1,2,1588.410863,44740,878898.0,192703,-40.35
1045,Mumbai,East,1,3,2400.0,55871,743144.0,255822,50.49
1045,Pune,North,1,1,4742.0,39184,743144.0,255822,50.49
1045,Pune,West,1,1,3182.716927,47992,743144.0,255822,50.49
1045,Solapur,North,1,1,1945.0,46846,743144.0,255822,50.49
1046,Kolhapur,South,1,1,4059.0,18190,977665.0,254418,58.29
1046,Kolhapur,West,1,3,8315.0,48014,977665.0,254418,58.29
1046,Nagpur,West,1,1,416.0,22515,977665.0,254418,58.29
1046,Nashik,East,1,1,3395.0,13061,977665.0,254418,58.29
1046,Nashik,West,1,1,3434.0,30088,977665.0,254418,58.29
1046,Solapur,North,1,1,2986.0,39770,977665.0,254418,58.29
1047,Mumbai,East,1,1,2282.0,28010,655189.0,116716,41.34
1047,Nashik,West,1,1,3225.0,45697,655189.0,116716,41.34
1047,Pune,South,1,2,3645.0,75443,655189.0,116716,41.34
1047,Pune,West,2,4,11670.0,105710,655189.0,116716,41.34
1047,Solapur,North,1,1,2022.0,46919,655189.0,116716,41.34
1047,Solapur,South,1,3,9175.0,59835,655189.0,116716,41.34
1048,Kolhapur,West,2,5,14860.0,94222,684533.0,334321,28.27
1048,Nagpur,North,1,3,5291.0,111252,684533.0,334321,28.27
1048,Nashik,West,1,1,4550.0,17779,684533.0,334321,28.27
1048,Pune,East,2,3,3879.0,46006,684533.0,334321,28.27
1048,Pune,North,1,1,291.0,22657,684533.0,334321,28.27
1049,Kolhapur,South,1,1,3849.0,17315,100724.0,169264,-32.71
1049,Mumbai,South,1,1,1619.0,10488,100724.0,169264,-32.71
1049,Solapur,East,1,1,3867.0,26524,100724.0,169264,-32.71
1050,Mumbai,West,2,3,2508.0,59179,678204.0,179639,41.23
1050,Pune,South,1,4,10460.0,86227,678204.0,179639,41.23
1051,Kolhapur,North,1,2,3083.2376759,48058,623150.0,83058,34.99
1051,Mumbai,South,1,2,6471.0,70197,623150.0,83058,34.99
1051,Nagpur,East,1,2,8590.0,88705,623150.0,83058,34.99
1051,Nagpur,North,1,1,3015.0,16224,623150.0,83058,34.99
1051,Solapur,East,1,1,4230.0,3419,623150.0,83058,34.99
1051,Solapur,North,1,1,1223.0,42800,623150.0,83058,34.99
1051,Solapur,South,1,1,1851.0,21146,623150.0,83058,34.99
1052,Kolhapur,South,1,2,1801.0,31831,992645.0,68947,86.92
1052,Nashik,East,1,1,3649.0,24313,992645.0,68947,86.92
1052,Nashik,South,1,2,7363.619385,42800,992645.0,68947,86.92
1053,Mumbai,East,1,2,5407.0,75095,829228.0,209502,80.83
1053,Nashik,East,1,4,10931.0,91693,829228.0,209502,80.83
1053,Solapur,East,2,4,10340.0,104316,829228.0,209502,80.83
1054,Mumbai,South,2,4,10810.0,125230,967410.0,419776,-46.92
1054,Nagpur,North,1,1,341.0,7193,967410.0,419776,-46.92
1054,Nagpur,South,1,3,8497.0,116280,967410.0,419776,-46.92
1054,Nagpur,West,1,1,4891.0,43066,967410.0,419776,-46.92
1054,Pune,East,1,2,1772.0,85118,967410.0,419776,-46.92
1055,Mumbai,North,1,1,231.0,16012,999028.0,235173,97.69
1055,Mumbai,South,1,1,3142.0,18297,999028.0,235173,97.69
1055,Nagpur,West,1,1,2799.0,35427,999028.0,235173,97.69
1055,Pune,East,1,2,7739.0,78970,999028.0,235173,97.69
1055,Pune,South,1,1,719.0,32345,999028.0,235173,97.69
1056,Pune,South,1,2,7354.0,63449,104114.0,239317,34.82
1057,Kolhapur,West,1,1,4678.0,10516,348753.0,320467,87.4
1057,Mumbai,North,1,2,3583.0,38910,348753.0,320467,87.4
1057,Mumbai,West,1,1,4492.0,43572,348753.0,320467,87.4
1057,Nashik,West,1,1,1633.0,49149,348753.0,320467,87.4
1057,Pune,West,1,1,2097.514103,44622,348753.0,320467,87.4
1058,Mumbai,South,1,2,4905.0,65634,,179713,-27.61
1058,Mumbai,West,1,1,3363.0,45517,,179713,-27.61
1058,Nagpur,North,1,1,2244.0,49618,,179713,-27.61
1058,Nagpur,West,1,2,1329.0,43016,,179713,-27.61
1058,Nashik,East,1,2,4216.372686,89504,,179713,-27.61
1058,Nashik,North,1,1,1295.0,34958,,179713,-27.61
1058,Pune,North,1,1,337.0,9973,,179713,-27.61
1058,Solapur,East,1,3,7898.441275,66199,,179713,-27.61
1059,Kolhapur,North,1,1,4030.0,44398,920571.0,191047,54.46
1059,Mumbai,West,1,2,4998.0,70616,920571.0,191047,54.46
1059,Nagpur,East,1,2,8271.0,28213,920571.0,191047,54.46
1059,Nagpur,North,1,1,1348.0,35893,920571.0,191047,54.46
1059,Nagpur,West,2,2,5426.0,59545,920571.0,191047,54.46
1059,Nashik,West,1,2,3733.0,81704,920571.0,191047,54.46
1059,Pune,East,1,3,12054.0,84199,920571.0,191047,54.46
1059,Solapur,West,1,1,3122.0,14810,920571.0,191047,54.46
1060,Kolhapur,West,1,1,991.0,3967,305241.0,220112,18.76
1060,Mumbai,North,1,1,1446.0,43669,305241.0,220112,18.76
1060,Pune,East,1,4,10654.0,127262,305241.0,220112,18.76
1060,Pune,South,1,1,4837.0,26617,305241.0,220112,18.76
1061,Kolhapur,East,1,1,4866.0,19666,668871.0,153491,-29.88
1061,Mumbai,West,1,1,3288.0,38309,668871.0,153491,-29.88
1061,Pune,North,1,1,626.0,26352,668871.0,153491,-29.88
1061,Pune,West,1,1,2602.0,28694,668871.0,153491,-29.88
1062,Nagpur,East,1,2,2122.0,24058,299697.0,273050,-46.59
1062,Nashik,West,1,1,609.0,23081,299697.0,273050,-46.59
1062,Solapur,West,1,1,3175.0,2744,299697.0,273050,-46.59
1063,Nagpur,North,1,1,764.0,39364,802708.0,57795,-17.56
1063,Nashik,North,1,1,436.8843163,41830,802708.0,57795,-17.56
1063,Pune,South,2,4,9346.0,99134,802708.0,57795,-17.56
1063,Solapur,South,1,1,2658.0,26608,802708.0,57795,-17.56
1063,Solapur,West,1,1,2435.0,31541,802708.0,57795,-17.56
1064,Kolhapur,West,1,1,1290.0,47893,904204.0,219407,-47.49
1064,Nagpur,South,1,1,2549.0,10348,904204.0,219407,-47.49
1064,Nashik,East,1,3,7681.0,83952,904204.0,219407,-47.49
1064,Pune,East,1,2,3217.0,89038,904204.0,219407,-47.49
1065,Mumbai,South,1,1,4214.0,2432,738465.0,454834,39.67
1065,Mumbai,West,1,2,2853.0,3307,738465.0,454834,39.67
1065,Nagpur,East,1,1,1604.0,45456,738465.0,454834,39.67
1065,Nashik,East,1,1,2089.769463,10631,738465.0,454834,39.67
1065,Solapur,East,1,3,10113.0,32625,738465.0,454834,39.67
1065,Solapur,West,2,2,9655.0,75288,738465.0,454834,39.67
1066,Kolhapur,North,1,1,4614.0,20024,123311.0,269341,-4.26
1066,Nagpur,West,1,2,5485.0,51327,123311.0,269341,-4.26
1066,Nashik,East,1,1,568.0,32893,123311.0,269341,-4.26
1066,Pune,North,1,2,9258.0,75826,123311.0,269341,-4.26
1066,Pune,West,1,1,1876.0,5574,123311.0,269341,-4.26
1067,Kolhapur,South,1,2,1380.0,55065,447272.0,419907,93.05
1067,Mumbai,West,2,2,5188.0,20860,447272.0,419907,93.05
1067,Nagpur,South,1,1,1362.0,13776,447272.0,419907,93.05
1067,Nagpur,West,1,1,2025.0,19957,447272.0,419907,93.05
1067,Nashik,South,1,4,13268.256978,127794,447272.0,419907,93.05
1067,Nashik,West,1,1,2491.0,17860,447272.0,419907,93.05
1067,Pune,East,1,1,5208.382054,26834,447272.0,419907,93.05
1067,Pune,North,1,2,4513.0,75809,447272.0,419907,93.05
1067,Solapur,South,1,1,2647.0,24396,447272.0,419907,93.05
1067,Solapur,West,1,2,7464.0,73632,447272.0,419907,93.05
1068,Kolhapur,East,2,2,8774.0,53266,94673.0,124746,44.89
1068,Kolhapur,North,2,2,6057.0,54789,94673.0,124746,44.89
1068,Nashik,East,1,2,5009.0,41818,94673.0,124746,44.89
1068,Pune,North,1,2,3755.0,40398,94673.0,124746,44.89
1068,Solapur,West,1,1,2473.637618,14957,94673.0,124746,44.89
1069,Kolhapur,South,1,1,302.0,5782,,279148,64.56
1069,Kolhapur,West,1,2,6203.0,79375,,279148,64.56
1069,Mumbai,North,1,1,1911.0,31172,,279148,64.56
1069,Pune,North,1,2,6338.0,21895,,279148,64.56
1069,Pune,West,1,1,1033.0,15568,,279148,64.56
1070,Mumbai,South,1,2,5518.0,93665,723055.0,20664,15.06
1070,Nashik,East,1,2,4831.0,52586,723055.0,20664,15.06
1070,Nashik,North,1,1,1270.0,3652,723055.0,20664,15.06
1070,Nashik,South,1,1,2167.0,3172,723055.0,20664,15.06
1071,Kolhapur,South,1,2,5238.0,75356,288740.0,497515,-9.92
1071,Nagpur,North,1,2,5475.0,39980,288740.0,497515,-9.92
1071,Nagpur,South,1,1,2895.0,20026,288740.0,497515,-9.92
1071,Nagpur,West,1,2,4391.0,40149,288740.0,497515,-9.92
1071,Nashik,West,1,3,8967.0,92228,288740.0,497515,-9.92
1071,Solapur,North,1,3,4805.0,33559,288740.0,497515,-9.92
1071,Solapur,South,1,1,244.0,29334,288740.0,497515,-9.92
1072,Nagpur,West,1,3,4997.0,74176,831265.0,382396,65.1
1072,Nashik,West,2,4,4864.0,115198,831265.0,382396,65.1
