Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Age,Customer_Type,City,Region,Bank_Name,Branch_ID,Firm_Revenue,Expenses,Profit_Margin,Year,Month
300039,206769,Current,24438,1210,48004,Mutual Fund,25-08-2023,72,Individual,Pune,West,HDFC Bank,1581,718986,159067,41.49,2023,2023-08
300040,207873,Savings,23464,389,1320,Mutual Fund,26-08-2022,67,Business,Pune,West,HDFC Bank,1224,472462,274775,-18.91,2022,2022-08
300041,202102,Business,86047,1011,19917,Recurring Deposit,12-08-2022,51,Business,Kolhapur,South,HDFC Bank,1218,519640,112598,32.53,2022,2022-08
300042,203852,Savings,28306,1480,46133,Mutual Fund,01-11-2023,21,Business,Pune,South,HDFC Bank,1920,597247,487328,-13.4,2023,2023-11
300043,208987,Current,29241,1747,47535,Fixed Deposit,18-08-2022,71,Business,Nashik,North,HDFC Bank,1701,668422,262052,36.21,2022,2022-08
300044,202904,Current,6313,4136,40430,Fixed Deposit,29-09-2023,38,,Nagpur,West,HDFC Bank,1088,246436,57113,5.95,2023,2023-09
300045,201453,Business,41400,3924,29495,Recurring Deposit,06-09-2023,59,Employee,Kolhapur,North,HDFC Bank,1172,635646,439728,95.97,2023,2023-09
300046,209070,Current,74796,4109,25768,Fixed Deposit,13-10-2024,25,Business,Solapur,East,HDFC Bank,1896,647782,216486,76.21,2024,2024-10
300047,208578,Business,60021,1391,16081,Mutual Fund,05-05-2023,30,,Pune,North,HDFC Bank,1529,99318,329650,1.49,2023,2023-05
300048,202434,Business,11536,3112,7987,Mutual Fund,27-05-2022,65,Employee,Kolhapur,West,HDFC Bank,1861,457097,147441,84.27,2022,2022-05
300049,209372,Savings,20642,1722,1808,Mutual Fund,03-03-2024,35,Business,Nagpur,South,HDFC Bank,1075,105973,493415,38.88,2024,2024-03
300050,204519,Current,27673,4779,12849,Mutual Fund,01-07-2024,66,Employee,Nashik,South,HDFC Bank,1421,647760,233210,-6.9,2024,2024-07
300051,200786,Savings,8325,4174,19217,Recurring Deposit,30-09-2022,29,Business,Mumbai,North,HDFC Bank,1800,282544,498301,74.18,2022,2022-09
300052,206803,Business,2149,1862,5514,Mutual Fund,30-10-2023,77,Individual,Kolhapur,West,HDFC Bank,1648,213095,330243,-33.32,2023,2023-10
300053,203219,Business,29377,4325.549313,47497,Fixed Deposit,21-07-2022,28,Business,Nagpur,South,HDFC Bank,1693,728253,113335,60.92,2022,2022-07
300054,207258,Business,57301,2227,39792,Fixed Deposit,25-07-2024,48,Business,,West,HDFC Bank,1958,150885,252633,63.38,2024,2024-07
300055,206699,Savings,25888,4279,18200,Mutual Fund,19-06-2023,22,Individual,Solapur,South,HDFC Bank,1015,494847,394802,73.24,2023,2023-06
300056,201773,Savings,40811,1537,23933,Recurring Deposit,21-11-2024,41,Employee,Pune,South,HDFC Bank,1995,128572,424289,72.5,2024,2024-11
300057,202042,Business,79085,3989,46476,Recurring Deposit,05-11-2024,,Business,Kolhapur,North,HDFC Bank,1626,414168,372035,61.34,2024,2024-11
300058,209816,Current,18004,2650,36131,Mutual Fund,03-10-2023,71,Individual,Nashik,South,HDFC Bank,1555,319006,363767,-1.84,2023,2023-10
300059,207169,Current,46996,2615.552874,13299,Mutual Fund,02-09-2024,19,Individual,Mumbai,East,HDFC Bank,1794,982714,321173,77.49,2024,2024-09
300060,207608,Current,17977,456,36194,Mutual Fund,13-01-2023,76,Business,Kolhapur,North,HDFC Bank,1147,665993,380428,-44.51,2023,2023-01
300061,209440,Business,28472,260,32011,Fixed Deposit,19-03-2025,77,Business,Kolhapur,West,HDFC Bank,1851,319927,487652,18.28,2025,2025-03
300062,204242,Business,54691,3166,12049,Fixed Deposit,07-07-2022,52,Individual,Kolhapur,East,HDFC Bank,1330,218565,20520,-22.39,2022,2022-07
300063,201625,Current,81352,2022,46919,Recurring Deposit,31-05-2022,34,Employee,Solapur,North,HDFC Bank,1047,655189,116716,41.34,2022,2022-05
300064,201471,Savings,34379,1620,34662,Fixed Deposit,11-01-2025,72,Individual,Kolhapur,West,HDFC Bank,1671,309927,418318,-6.3,2025,2025-01
300065,205549,Current,31314,3415,16440,Recurring Deposit,10-03-2023,73,Business,Pune,West,HDFC Bank,1791,929317,307857,67.28,2023,2023-03
300066,201346,Savings,14144,663,3974,Recurring Deposit,13-06-2023,79,Individual,Nagpur,South,HDFC Bank,1889,622980,141581,-12.77,2023,2023-06
300067,209306,Current,58970,3360,12027,Recurring Deposit,22-07-2022,67,Business,Nagpur,North,HDFC Bank,1293,995836,225541,39.81,2022,2022-07
300068,200013,Business,60291,4091,30557,Fixed Deposit,17-03-2023,28,Individual,Mumbai,South,HDFC Bank,1176,,448247,-26.32,2023,2023-03
300069,209363,Current,15668,109,40973,Fixed Deposit,24-08-2022,58,Individual,Solapur,North,HDFC Bank,1750,391800,351826,95.84,2022,2022-08
300070,201826,Savings,11159,781,3247,Recurring Deposit,01-11-2023,44,Business,Solapur,West,HDFC Bank,1430,858613,88611,-40.43,2023,2023-11
300071,208600,Savings,43386,771.1865554,16631,Recurring Deposit,26-05-2023,36,Individual,Mumbai,East,HDFC Bank,1462,526771,194721,9.21,2023,2023-05
300072,205507,Current,93190,776,1571,Mutual Fund,23-02-2024,20,Employee,Pune,West,HDFC Bank,1873,485189,303349,-38.28,2024,2024-02
300073,204152,Business,41654,292,6727,Recurring Deposit,02-12-2024,67,Employee,Mumbai,East,HDFC Bank,1369,620129,451495,2.32,2024,2024-12
300074,202561,Business,94115,3227,16048,Recurring Deposit,08-10-2023,75,Employee,Solapur,North,HDFC Bank,1111,702367,190514,-13.68,2023,2023-10
300075,201902,Savings,74259,587,34913,Mutual Fund,28-11-2022,,Individual,Solapur,North,HDFC Bank,1472,338461,150023,-16.92,2022,2022-11
300076,208596,Business,77182,385,37067,Recurring Deposit,17-10-2023,64,Business,Pune,South,HDFC Bank,1166,744810,50143,33.07,2023,2023-10
300077,207916,Current,14799,1367,46381,Fixed Deposit,23-09-2023,60,Employee,Nagpur,South,HDFC Bank,1935,991065,178856,21.73,2023,2023-09
300078,205720,Savings,13928,934,24135,Fixed Deposit,09-02-2023,58,Employee,Mumbai,East,HDFC Bank,1448,810315,487186,29.49,2023,2023-02
300079,200858,Savings,43133,901.8561932,4345,Recurring Deposit,25-01-2025,,Employee,,North,HDFC Bank,1758,521880,436030,-18.25,2025,2025-01
300080,200208,Current,84847,1222,22763,Mutual Fund,09-05-2023,53,Individual,Nagpur,East,HDFC Bank,1916,271239,456524,-30.72,2023,2023-05
300081,202190,Current,43308,3681,23699,Mutual Fund,15-03-2025,43,Business,Kolhapur,West,HDFC Bank,1714,759223,44148,44.57,2025,2025-03
300082,208109,Current,48383,3311,11587,Fixed Deposit,14-02-2025,29,Business,Mumbai,North,HDFC Bank,1791,929317,307857,67.28,2025,2025-02
300083,207794,Business,86627,2256,13962,Fixed Deposit,21-12-2024,,Employee,Nashik,East,HDFC Bank,1023,141055,264179,-9.72,2024,2024-12
300084,201822,Business,4360,2390,8777,Mutual Fund,09-07-2022,,Business,Nashik,North,HDFC Bank,1515,943560,228782,26.07,2022,2022-07
300085,207741,Business,46631,1164,29535,Recurring Deposit,22-10-2024,59,Business,Kolhapur,East,HDFC Bank,1443,852336,338353,65.21,2024,2024-10
300086,200545,Current,74422,3891,15881,Recurring Deposit,01-12-2024,39,Employee,Nashik,East,HDFC Bank,1445,521225,208347,52.59,2024,2024-12
300087,208995,Business,20259,2198,3160,Recurring Deposit,11-12-2022,65,Employee,Nagpur,South,HDFC Bank,1854,197462,333419,41.84,2022,2022-12
300088,201127,Business,2577,1476,5260,Recurring Deposit,27-06-2024,28,Employee,Pune,West,HDFC Bank,1764,822390,379108,-20.85,2024,2024-06
300089,206476,Current,38065,2227,10696,Mutual Fund,05-04-2023,59,Business,Pune,North,HDFC Bank,1413,767738,280413,66.63,2023,2023-04
300090,204092,Current,40483,446,37239,Mutual Fund,29-11-2022,55,Individual,Mumbai,East,HDFC Bank,1557,528963,202030,39.71,2022,2022-11
300091,200246,Current,37201,1858,41677,Mutual Fund,08-03-2024,20,Employee,Nashik,South,HDFC Bank,1844,298637,441832,-28.5,2024,2024-03
300092,208656,Savings,33653,1438,11212,Recurring Deposit,31-10-2023,,Employee,Solapur,East,HDFC Bank,1599,184962,330584,-17.66,2023,2023-10
300093,206444,Current,98586,4795,29859,Recurring Deposit,14-05-2023,75,Individual,Solapur,West,HDFC Bank,1846,278628,479866,61.55,2023,2023-05
300094,200619,Current,98266,2796,32851,Fixed Deposit,09-12-2024,18,Employee,Mumbai,North,HDFC Bank,1030,950410,483008,-2.32,2024,2024-12
300095,201958,Business,56360,4167,47288,Mutual Fund,22-02-2025,49,Employee,,North,HDFC Bank,1933,507858,114568,-38.18,2025,2025-02
300096,206681,Savings,99202,553,47078,Mutual Fund,02-08-2024,37,Individual,Mumbai,West,HDFC Bank,1749,126755,479526,73.02,2024,2024-08
300097,209421,Business,83453,1409,29438,Recurring Deposit,25-02-2023,35,Individual,,West,HDFC Bank,1499,101014,232018,-44.13,2023,2023-02
300098,208548,Savings,80321,189,37746,Recurring Deposit,16-02-2025,76,Business,Nashik,West,HDFC Bank,1902,708168,351350,45.72,2025,2025-02
300099,202378,Current,8615,1419,24154,Recurring Deposit,06-08-2023,22,Business,Nagpur,East,HDFC Bank,1134,657173,370102,50.26,2023,2023-08
300100,203351,Savings,69990,1245.40705,14369,Recurring Deposit,15-06-2022,33,Business,Nashik,West,HDFC Bank,1977,938024,185992,36.13,2022,2022-06
300101,200884,Current,22527,2603,7744,Mutual Fund,11-03-2023,45,Business,Kolhapur,North,HDFC Bank,1343,454238,329039,44.85,2023,2023-03
300102,206585,Savings,78341,3102,33839,Recurring Deposit,09-05-2022,35,Business,Solapur,North,HDFC Bank,1320,534803,41265,-34.71,2022,2022-05
300103,209950,Business,62479,1262,23149,Fixed Deposit,24-07-2023,28,Business,Solapur,North,HDFC Bank,1974,361554,291418,-47.97,2023,2023-07
300104,209649,Savings,77880,2023,11839,Recurring Deposit,04-12-2023,19,Employee,Nagpur,East,HDFC Bank,1864,855376,445100,36.37,2023,2023-12
300105,206343,Savings,97150,1888,32443,Fixed Deposit,10-05-2023,33,Individual,Nashik,North,HDFC Bank,1247,457796,462368,42.44,2023,2023-05
300106,200550,Current,37640,4869,6378,Fixed Deposit,01-07-2022,78,Employee,Solapur,West,HDFC Bank,1468,768420,164449,40.44,2022,2022-07
300107,208391,Business,57068,544,43856,Recurring Deposit,11-02-2023,70,Business,Nagpur,South,HDFC Bank,1799,125469,52574,13.77,2023,2023-02
300108,209582,Business,77018,2580,13089,Recurring Deposit,18-08-2024,70,Individual,Pune,East,HDFC Bank,1583,698963,230379,41.32,2024,2024-08
300109,203742,Current,16002,4240,10238,Fixed Deposit,22-07-2023,46,Business,Nagpur,East,HDFC Bank,1902,708168,351350,45.72,2023,2023-07
300110,201443,Current,76069,3992,37536,Recurring Deposit,14-02-2023,57,Individual,Mumbai,West,HDFC Bank,1032,722489,127639,53.12,2023,2023-02
300111,204774,Business,2758,2094,11322,Fixed Deposit,02-01-2025,74,Individual,Solapur,North,HDFC Bank,1753,708640,256332,11.25,2025,2025-01
300112,208468,Savings,35712,2850,2664,Fixed Deposit,04-05-2024,46,Employee,,West,HDFC Bank,1188,295840,253739,-24.03,2024,2024-05
300113,200053,Business,88489,4528,25322,Recurring Deposit,25-11-2023,74,Individual,Pune,North,HDFC Bank,1630,114735,327021,15.08,2023,2023-11
300114,200163,Business,18939,1456,42750,Fixed Deposit,13-12-2024,79,Employee,Nashik,North,HDFC Bank,1578,815148,353594,-47.58,2024,2024-12
300115,206798,Business,62558,4163,15336,Fixed Deposit,02-03-2024,48,Business,Kolhapur,West,HDFC Bank,1090,629001,345832,97.09,2024,2024-03
300116,202789,Current,49938,4394,44374,Fixed Deposit,28-10-2022,67,Individual,Nagpur,West,HDFC Bank,1859,892465,216124,21.16,2022,2022-10
300117,204517,Current,68138,5131.409921,25219,Mutual Fund,06-05-2023,64,Employee,Mumbai,North,HDFC Bank,1713,491267,143105,-14.73,2023,2023-05
300118,209445,Savings,19937,610,8151,Recurring Deposit,23-10-2022,,Business,Solapur,South,HDFC Bank,1985,963505,300923,72.08,2022,2022-10
300119,209521,Savings,9767,4323,44076,Recurring Deposit,08-04-2023,65,Individual,Nagpur,North,HDFC Bank,1101,866744,147716,-26.19,2023,2023-04
300120,209177,Business,67405,1165,1594,Mutual Fund,09-08-2024,78,Employee,Nagpur,West,HDFC Bank,1899,456261,269692,-24.56,2024,2024-08
300121,205359,Current,35093,2660,6004,Fixed Deposit,05-07-2024,71,Individual,Pune,South,HDFC Bank,1963,292442,407710,-34.39,2024,2024-07
300122,205652,Business,23971,2731,33733,Mutual Fund,03-05-2023,29,Individual,Pune,South,HDFC Bank,1924,242542,151511,66.41,2023,2023-05
300123,201080,Current,52943,3698,16128,Fixed Deposit,14-09-2024,68,Individual,Solapur,West,HDFC Bank,1024,453778,239635,23.83,2024,2024-09
300124,208850,Business,43169,2984,28130,Recurring Deposit,15-01-2024,47,Employee,Nagpur,South,HDFC Bank,1054,967410,419776,-46.92,2024,2024-01
300125,205148,Savings,5247,2553,35029,Recurring Deposit,12-09-2024,26,Individual,Pune,East,HDFC Bank,1632,107490,208021,20.34,2024,2024-09
300126,202265,Business,72586,3575,38148,Recurring Deposit,01-12-2023,49,Business,Nagpur,South,HDFC Bank,1590,566970,486922,25.14,2023,2023-12
300127,204641,Current,86526,605,23902,Fixed Deposit,04-10-2023,18,Business,Solapur,South,HDFC Bank,1371,108846,109030,92.34,2023,2023-10
300128,200848,Current,93679,3984,36200,Mutual Fund,24-02-2023,55,,Pune,North,HDFC Bank,1088,246436,57113,5.95,2023,2023-02
300129,208657,Business,71869,3260,44969,Mutual Fund,21-10-2022,25,Business,Nagpur,South,HDFC Bank,1101,866744,147716,-26.19,2022,2022-10
300130,204661,Savings,86647,3763,32727,Mutual Fund,20-05-2024,22,Individual,Kolhapur,West,HDFC Bank,1845,808814,341562,76.27,2024,2024-05
300131,207711,Business,91053,3774,16137,Fixed Deposit,25-04-2024,22,Individual,Kolhapur,West,HDFC Bank,1906,,35684,47.26,2024,2024-04
300132,204599,Business,6606,674,6690,Recurring Deposit,09-08-2022,35,Business,,West,HDFC Bank,1813,52125,463465,-35.83,2022,2022-08
300133,205661,Current,76708,4079,14536,Recurring Deposit,02-06-2022,75,Employee,Nashik,West,HDFC Bank,1211,905634,215963,15.81,2022,2022-06
300134,209566,Current,16347,4411,10417,Recurring Deposit,07-09-2022,,Employee,Mumbai,South,HDFC Bank,1124,657564,131822,-47.83,2022,2022-09
300135,206111,Savings,21222,2637,38073,Recurring Deposit,13-11-2022,75,Business,Solapur,East,HDFC Bank,1248,,59554,-42.5,2022,2022-11
300136,205515,Business,76070,3012,16381,Mutual Fund,19-11-2024,56,Individual,Solapur,South,HDFC Bank,1923,520239,415391,52.1,2024,2024-11
300137,209998,Savings,43649,3982,16028,Recurring Deposit,24-11-2022,21,Employee,Kolhapur,North,HDFC Bank,1856,139931,104135,86.18,2022,2022-11
300138,208610,Business,92016,1833,33244,Recurring Deposit,10-02-2025,41,Individual,Mumbai,North,HDFC Bank,1546,,67502,11.03,2025,2025-02
300139,201459,Savings,45434,4885,41478,Recurring Deposit,05-01-2024,69,Employee,Solapur,West,HDFC Bank,1691,75224,300760,-22.01,2024,2024-01
300140,204532,Business,76590,689,38185,Recurring Deposit,02-10-2024,64,Employee,Nashik,North,HDFC Bank,1357,491869,66944,-1.34,2024,2024-10
300141,206029,Savings,78592,4076,15550,Fixed Deposit,27-06-2022,36,Business,Nashik,North,HDFC Bank,1414,179730,33160,-13.16,2022,2022-06
300142,206289,Business,17919,2965,39146,Fixed Deposit,08-11-2023,20,Business,Nagpur,East,HDFC Bank,1546,,67502,11.03,2023,2023-11
300143,202213,Current,16398,3267,4757,Mutual Fund,03-11-2023,57,Employee,,North,HDFC Bank,1117,286476,326419,-1.85,2023,2023-11
300144,200597,Business,99990,2592,28000,Recurring Deposit,01-10-2024,54,Individual,Solapur,East,HDFC Bank,1287,710254,274736,95.39,2024,2024-10
300145,209381,Business,21156,4226,33599,Fixed Deposit,17-03-2024,32,Business,Mumbai,West,HDFC Bank,1473,866755,221547,58.11,2024,2024-03
300146,205528,Current,40524,4756,26816,Mutual Fund,19-06-2024,21,Employee,Pune,East,HDFC Bank,1951,232807,354228,86.49,2024,2024-06
300147,208637,Business,9929,782,20624,Fixed Deposit,15-04-2023,43,Employee,Pune,East,HDFC Bank,1358,450058,159401,78.45,2023,2023-04
300148,204749,Savings,18171,2448,29221,Mutual Fund,27-07-2024,61,Business,Kolhapur,South,HDFC Bank,1332,681032,272689,4.79,2024,2024-07
300149,200046,Business,18156,2359,14701,Mutual Fund,07-04-2022,79,Business,Solapur,West,HDFC Bank,1571,75223,495797,-11.02,2022,2022-04
300150,209704,Savings,91347,1325,14764,Recurring Deposit,09-02-2025,22,Employee,Nagpur,South,HDFC Bank,1675,911226,307216,71.52,2025,2025-02
300151,207890,Current,48523,4841,22937,Mutual Fund,14-09-2022,47,Employee,Nashik,North,HDFC Bank,1326,134485,70906,-19.1,2022,2022-09
300152,201286,Savings,74082,1340,23950,Recurring Deposit,12-02-2025,21,Employee,Nagpur,West,HDFC Bank,1391,789537,473749,-17.84,2025,2025-02
300153,202701,Current,82597,3989,9143,Recurring Deposit,02-07-2024,29,Business,Solapur,South,HDFC Bank,1088,246436,57113,5.95,2024,2024-07
300154,200942,Savings,99993,553,1938,Recurring Deposit,09-05-2023,25,,Nashik,East,HDFC Bank,1327,152201,149226,57.31,2023,2023-05
300155,202290,Current,8955,2783,34108,Mutual Fund,10-12-2024,32,Employee,Solapur,South,HDFC Bank,1300,575283,343346,32.19,2024,2024-12
300156,200903,Business,64612,1268,38242,Mutual Fund,31-08-2023,75,Employee,Mumbai,West,HDFC Bank,1960,224454,201088,54.07,2023,2023-08
300157,205452,Savings,22972,4538,11023,Mutual Fund,10-09-2022,18,Business,Nashik,East,HDFC Bank,1150,972742,142072,35,2022,2022-09
300158,202659,Current,6267,803,8556,Recurring Deposit,19-06-2023,62,Business,Nagpur,North,HDFC Bank,1486,999975,471140,-42.72,2023,2023-06
300159,201131,Business,91885,2758,30920,Mutual Fund,25-01-2024,40,Employee,Nashik,East,HDFC Bank,1614,460952,332600,31.29,2024,2024-01
300160,202368,Business,96916,731,16938,Fixed Deposit,21-11-2022,46,Individual,Mumbai,East,HDFC Bank,1530,314730,200082,-12.8,2022,2022-11
300161,206948,Current,48385,2048,46372,Recurring Deposit,23-02-2024,,Employee,Solapur,South,HDFC Bank,1701,668422,262052,36.21,2024,2024-02
300162,203544,Current,25726,3434,5608,Fixed Deposit,26-03-2022,72,,Nagpur,West,HDFC Bank,1740,846852,157207,46.61,2022,2022-03
300163,208658,Savings,63852,482,17190,Mutual Fund,04-05-2023,,Employee,Kolhapur,South,HDFC Bank,1759,667434,386002,63.86,2023,2023-05
300164,204057,Current,30592,580.7588143,7473,Fixed Deposit,06-05-2024,73,,Mumbai,South,HDFC Bank,1227,990092,239838,9.35,2024,2024-05
300165,204850,Business,95211,2537,45303,Fixed Deposit,23-12-2022,52,Employee,,East,HDFC Bank,1879,478470,361650,-9.88,2022,2022-12
300166,204034,Current,60226,2119,11219,Fixed Deposit,17-05-2024,19,Individual,Kolhapur,West,HDFC Bank,1213,580234,492210,79.6,2024,2024-05
300167,201135,Savings,62321,2830,5123,Recurring Deposit,02-09-2022,28,Employee,Kolhapur,West,HDFC Bank,1601,960427,459729,73.41,2022,2022-09
300168,209670,Savings,53385,1054,39746,Mutual Fund,16-11-2024,53,Individual,Nagpur,North,HDFC Bank,1615,417095,84820,81.01,2024,2024-11
300169,204383,Savings,59970,1996,39453,Recurring Deposit,27-06-2023,43,Individual,Mumbai,West,HDFC Bank,1743,384410,442942,20.38,2023,2023-06
300170,205572,Savings,27041,3360,7774,Mutual Fund,07-12-2024,22,Business,Solapur,West,HDFC Bank,1099,714838,177696,51.99,2024,2024-12
300171,208532,Savings,70747,1269,5490,Recurring Deposit,17-05-2024,53,Business,Solapur,West,HDFC Bank,1135,175873,20946,55.55,2024,2024-05
300172,200659,Savings,6986,2289,14012,Fixed Deposit,22-10-2024,75,Business,Pune,West,HDFC Bank,1983,69110,499207,86.29,2024,2024-10
300173,200185,Current,28635,2040,9484,Fixed Deposit,23-01-2023,26,Employee,Solapur,West,HDFC Bank,1080,714846,106483,66.31,2023,2023-01
300174,202076,Savings,44194,3082,32141,Recurring Deposit,13-11-2022,18,Employee,Nagpur,West,HDFC Bank,1777,112551,157259,-20.07,2022,2022-11
300175,201431,Current,88419,4101,43232,Fixed Deposit,22-10-2023,40,Individual,Solapur,South,HDFC Bank,1555,319006,363767,-1.84,2023,2023-10
300176,200746,Current,87048,1282,45449,Fixed Deposit,26-11-2022,41,,Nashik,North,HDFC Bank,1215,699446,482171,15.07,2022,2022-11
300177,203834,Business,24356,180,41597,Mutual Fund,05-07-2024,70,Business,Nashik,North,HDFC Bank,1439,727750,258306,89.08,2024,2024-07
300178,208724,Current,6084,1258,1969,Mutual Fund,21-06-2024,45,Individual,Pune,South,HDFC Bank,1579,672162,272750,87.79,2024,2024-06
300179,207056,Current,11096,1194,43934,Recurring Deposit,21-03-2022,78,Individual,Mumbai,East,HDFC Bank,1328,898320,279897,-11.11,2022,2022-03
300180,207259,Current,57100,3812,45675,Mutual Fund,06-10-2024,67,Employee,Mumbai,West,HDFC Bank,1324,415244,261861,-47.2,2024,2024-10
