Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date
300051,200786,Savings,8325,4174,19217,Recurring Deposit,30-09-2022
300052,206803,Business,2149,1862,5514,Mutual Fund,30-10-2023
300053,203219,Business,29377,4325.549313,47497,Fixed Deposit,21-07-2022
300054,207258,Business,57301,2227,39792,Fixed Deposit,25-07-2024
300055,206699,Savings,25888,4279,18200,Mutual Fund,19-06-2023
300056,201773,Savings,40811,1537,23933,Recurring Deposit,21-11-2024
300057,202042,Business,79085,3989,46476,Recurring Deposit,05-11-2024
300058,209816,Current,18004,2650,36131,Mutual Fund,03-10-2023
300059,207169,Current,46996,2615.552874,13299,Mutual Fund,02-09-2024
300060,207608,Current,17977,456,36194,Mutual Fund,13-01-2023
300061,209440,Business,28472,260,32011,Fixed Deposit,19-03-2025
300062,204242,Business,54691,3166,12049,Fixed Deposit,07-07-2022
300063,201625,Current,81352,2022,46919,Recurring Deposit,31-05-2022
300064,201471,Savings,34379,1620,34662,Fixed Deposit,11-01-2025
300065,205549,Current,31314,3415,16440,Recurring Deposit,10-03-2023
300066,201346,Savings,14144,663,3974,Recurring Deposit,13-06-2023
300067,209306,Current,58970,3360,12027,Recurring Deposit,22-07-2022
300068,200013,Business,60291,4091,30557,Fixed Deposit,17-03-2023
300069,209363,Current,15668,109,40973,Fixed Deposit,24-08-2022
300070,201826,Savings,11159,781,3247,Recurring Deposit,01-11-2023
300071,208600,Savings,43386,771.1865554,16631,Recurring Deposit,26-05-2023
300072,205507,Current,93190,776,1571,Mutual Fund,23-02-2024
300073,204152,Business,41654,292,6727,Recurring Deposit,02-12-2024
300074,202561,Business,94115,3227,16048,Recurring Deposit,08-10-2023
300075,201902,Savings,74259,587,34913,Mutual Fund,28-11-2022
300076,208596,Business,77182,385,37067,Recurring Deposit,17-10-2023
300077,207916,Current,14799,1367,46381,Fixed Deposit,23-09-2023
300078,205720,Savings,13928,934,24135,Fixed Deposit,09-02-2023
300079,200858,Savings,43133,901.8561932,4345,Recurring Deposit,25-01-2025
300080,200208,Current,84847,1222,22763,Mutual Fund,09-05-2023
300081,202190,Current,43308,3681,23699,Mutual Fund,15-03-2025
300082,208109,Current,48383,3311,11587,Fixed Deposit,14-02-2025
300083,207794,Business,86627,2256,13962,Fixed Deposit,21-12-2024
300084,201822,Business,4360,2390,8777,Mutual Fund,09-07-2022
300085,207741,Business,46631,1164,29535,Recurring Deposit,22-10-2024
300086,200545,Current,74422,3891,15881,Recurring Deposit,01-12-2024
300087,208995,Business,20259,2198,3160,Recurring Deposit,11-12-2022
300088,201127,Business,2577,1476,5260,Recurring Deposit,27-06-2024
300089,206476,Current,38065,2227,10696,Mutual Fund,05-04-2023
300090,204092,Current,40483,446,37239,Mutual Fund,29-11-2022
300091,200246,Current,37201,1858,41677,Mutual Fund,08-03-2024
300092,208656,Savings,33653,1438,11212,Recurring Deposit,31-10-2023
300093,206444,Current,98586,4795,29859,Recurring Deposit,14-05-2023
300094,200619,Current,98266,2796,32851,Fixed Deposit,09-12-2024
300095,201958,Business,56360,4167,47288,Mutual Fund,22-02-2025
300096,206681,Savings,99202,553,47078,Mutual Fund,02-08-2024
300097,209421,Business,83453,1409,29438,Recurring Deposit,25-02-2023
300098,208548,Savings,80321,189,37746,Recurring Deposit,16-02-2025
300099,202378,Current,8615,1419,24154,Recurring Deposit,06-08-2023
300100,203351,Savings,69990,1245.40705,14369,Recurring Deposit,15-06-2022
300101,200884,Current,22527,2603,7744,Mutual Fund,11-03-2023
300102,206585,Savings,78341,3102,33839,Recurring Deposit,09-05-2022
300103,209950,Business,62479,1262,23149,Fixed Deposit,24-07-2023
300104,209649,Savings,77880,2023,11839,Recurring Deposit,04-12-2023
300105,206343,Savings,97150,1888,32443,Fixed Deposit,10-05-2023
300106,200550,Current,37640,4869,6378,Fixed Deposit,01-07-2022
300107,208391,Business,57068,544,43856,Recurring Deposit,11-02-2023
300108,209582,Business,77018,2580,13089,Recurring Deposit,18-08-2024
300109,203742,Current,16002,4240,10238,Fixed Deposit,22-07-2023
300110,201443,Current,76069,3992,37536,Recurring Deposit,14-02-2023
300111,204774,Business,2758,2094,11322,Fixed Deposit,02-01-2025
300112,208468,Savings,35712,2850,2664,Fixed Deposit,04-05-2024
300113,200053,Business,88489,4528,25322,Recurring Deposit,25-11-2023
300114,200163,Business,18939,1456,42750,Fixed Deposit,13-12-2024
300115,206798,Business,62558,4163,15336,Fixed Deposit,02-03-2024
300116,202789,Current,49938,4394,44374,Fixed Deposit,28-10-2022
300117,204517,Current,68138,5131.409921,25219,Mutual Fund,06-05-2023
300118,209445,Savings,19937,610,8151,Recurring Deposit,23-10-2022
300119,209521,Savings,9767,4323,44076,Recurring Deposit,08-04-2023
300120,209177,Business,67405,1165,1594,Mutual Fund,09-08-2024
300121,205359,Current,35093,2660,6004,Fixed Deposit,05-07-2024
300122,205652,Business,23971,2731,33733,Mutual Fund,03-05-2023
300123,201080,Current,52943,3698,16128,Fixed Deposit,14-09-2024
300124,208850,Business,43169,2984,28130,Recurring Deposit,15-01-2024
300125,205148,Savings,5247,2553,35029,Recurring Deposit,12-09-2024
300126,202265,Business,72586,3575,38148,Recurring Deposit,01-12-2023
300127,204641,Current,86526,605,23902,Fixed Deposit,04-10-2023
300128,200848,Current,93679,3984,36200,Mutual Fund,24-02-2023
300129,208657,Business,71869,3260,44969,Mutual Fund,21-10-2022
300130,204661,Savings,86647,3763,32727,Mutual Fund,20-05-2024
300131,207711,Business,91053,3774,16137,Fixed Deposit,25-04-2024
300132,204599,Business,6606,674,6690,Recurring Deposit,09-08-2022
300133,205661,Current,76708,4079,14536,Recurring Deposit,02-06-2022
300134,209566,Current,16347,4411,10417,Recurring Deposit,07-09-2022
300135,206111,Savings,21222,2637,38073,Recurring Deposit,13-11-2022
300136,205515,Business,76070,3012,16381,Mutual Fund,19-11-2024
300137,209998,Savings,43649,3982,16028,Recurring Deposit,24-11-2022
300138,208610,Business,92016,1833,33244,Recurring Deposit,10-02-2025
300139,201459,Savings,45434,4885,41478,Recurring Deposit,05-01-2024
300140,204532,Business,76590,689,38185,Recurring Deposit,02-10-2024
300141,206029,Savings,78592,4076,15550,Fixed Deposit,27-06-2022
300142,206289,Business,17919,2965,39146,Fixed Deposit,08-11-2023
300143,202213,Current,16398,3267,4757,Mutual Fund,03-11-2023
300144,200597,Business,99990,2592,28000,Recurring Deposit,01-10-2024
300145,209381,Business,21156,4226,33599,Fixed Deposit,17-03-2024
300146,205528,Current,40524,4756,26816,Mutual Fund,19-06-2024
300147,208637,Business,9929,782,20624,Fixed Deposit,15-04-2023
300148,204749,Savings,18171,2448,29221,Mutual Fund,27-07-2024
300149,200046,Business,18156,2359,14701,Mutual Fund,07-04-2022
300150,209704,Savings,91347,1325,14764,Recurring Deposit,09-02-2025
300151,207890,Current,48523,4841,22937,Mutual Fund,14-09-2022
300152,201286,Savings,74082,1340,23950,Recurring Deposit,12-02-2025
300153,202701,Current,82597,3989,9143,Recurring Deposit,02-07-2024
300154,200942,Savings,99993,553,1938,Recurring Deposit,09-05-2023
300155,202290,Current,8955,2783,34108,Mutual Fund,10-12-2024
300156,200903,Business,64612,1268,38242,Mutual Fund,31-08-2023
300157,205452,Savings,22972,4538,11023,Mutual Fund,10-09-2022
300158,202659,Current,6267,803,8556,Recurring Deposit,19-06-2023
300159,201131,Business,91885,2758,30920,Mutual Fund,25-01-2024
300160,202368,Business,96916,731,16938,Fixed Deposit,21-11-2022
300161,206948,Current,48385,2048,46372,Recurring Deposit,23-02-2024
300162,203544,Current,25726,3434,5608,Fixed Deposit,26-03-2022
300163,208658,Savings,63852,482,17190,Mutual Fund,04-05-2023
300164,204057,Current,30592,580.7588143,7473,Fixed Deposit,06-05-2024
300165,204850,Business,95211,2537,45303,Fixed Deposit,23-12-2022
300166,204034,Current,60226,2119,11219,Fixed Deposit,17-05-2024
300167,201135,Savings,62321,2830,5123,Recurring Deposit,02-09-2022
300168,209670,Savings,53385,1054,39746,Mutual Fund,16-11-2024
300169,204383,Savings,59970,1996,39453,Recurring Deposit,27-06-2023
300170,205572,Savings,27041,3360,7774,Mutual Fund,07-12-2024
300171,208532,Savings,70747,1269,5490,Recurring Deposit,17-05-2024
300172,200659,Savings,6986,2289,14012,Fixed Deposit,22-10-2024
300173,200185,Current,28635,2040,9484,Fixed Deposit,23-01-2023
300174,202076,Savings,44194,3082,32141,Recurring Deposit,13-11-2022
300175,201431,Current,88419,4101,43232,Fixed Deposit,22-10-2023
300176,200746,Current,87048,1282,45449,Fixed Deposit,26-11-2022
300177,203834,Business,24356,180,41597,Mutual Fund,05-07-2024
300178,208724,Current,6084,1258,1969,Mutual Fund,21-06-2024
300179,207056,Current,11096,1194,43934,Recurring Deposit,21-03-2022
300180,207259,Current,57100,3812,45675,Mutual Fund,06-10-2024
300181,202975,Savings,68596,2489,35436,Recurring Deposit,06-08-2023
300182,206315,Current,64388,3258,29118,Recurring Deposit,18-04-2024
300183,204209,Business,8463,191,19686,Mutual Fund,20-04-2022
300184,209313,Current,20709,290,4279,Recurring Deposit,10-09-2022
300185,207422,Savings,19445,1355,18591,Fixed Deposit,05-10-2023
300186,203093,Current,94447,3729,9594,Fixed Deposit,11-07-2023
300187,209336,Savings,25735,4764,34806,Fixed Deposit,27-03-2023
300188,208402,Savings,18290,2478.289035,19738,Recurring Deposit,18-06-2022
300189,203773,Savings,85706,3885,6272,Mutual Fund,30-03-2023
300190,202863,Current,33068,1104,46259,Recurring Deposit,18-08-2024
300191,207815,Current,47769,563,26568,Fixed Deposit,21-07-2022
300192,202433,Current,60044,1648,45393,Fixed Deposit,01-08-2022
300193,207451,Business,98324,1618,16431,Fixed Deposit,13-04-2024
300194,201923,Business,81324,1729,25244,Mutual Fund,06-07-2022
300195,200640,Savings,32553,3133,29738,Fixed Deposit,25-06-2024
300196,209806,Business,28289,1265,4243,Recurring Deposit,02-10-2022
300197,201484,Current,5428,4488,1805,Fixed Deposit,06-10-2022
300198,205854,Current,32611,447.931579,30372,Mutual Fund,08-01-2025
300199,203792,Current,68109,549,30252,Recurring Deposit,28-03-2024
300200,201925,Business,77784,805,21582,Fixed Deposit,22-07-2024
300201,201331,Savings,76879,4868,9942,Mutual Fund,02-12-2022
300202,205452,Business,37018,3045,12295,Mutual Fund,06-05-2023
300203,206333,Savings,95606,3141,21219,Fixed Deposit,17-06-2024
300204,207157,Current,22088,3427,37378,Mutual Fund,18-10-2024
300205,202140,Savings,3077,1630,2492,Fixed Deposit,07-01-2024
300206,207575,Business,47239,2320,8457,Recurring Deposit,13-02-2023
300207,201643,Business,71065,3351,39209,Recurring Deposit,05-07-2024
300208,206859,Business,83950,3001,14428,Mutual Fund,24-02-2025
300209,205097,Current,19214,4834,26396,Recurring Deposit,27-01-2023
300210,205902,Current,72100,3858,44678,Fixed Deposit,18-07-2023
300211,208190,Business,50935,4842,21279,Recurring Deposit,30-11-2023
300212,203710,Current,91826,1264,26161,Recurring Deposit,27-01-2025
300213,209987,Business,71564,4054,30080,Fixed Deposit,24-12-2024
300214,209869,Savings,24860,2815,36541,Fixed Deposit,22-10-2023
300215,202752,Savings,9781,4624,49690,Mutual Fund,30-01-2024
300216,209595,Current,85630,3867,26524,Fixed Deposit,02-06-2024
300217,206193,Current,22881,3647,25400,Fixed Deposit,20-02-2024
300218,208430,Current,74914,4706,4541,Recurring Deposit,24-09-2022
300219,207402,Current,10243,4070,24506,Fixed Deposit,10-04-2023
300220,200318,Savings,50641,377,35492,Fixed Deposit,05-03-2023
300221,208753,Business,44972,4705,15242,Recurring Deposit,28-06-2022
300222,205212,Business,76095,3384,37075,Mutual Fund,28-08-2023
300223,203413,Current,71322,4680,1594,Fixed Deposit,22-04-2022
300224,206385,Business,84665,4475,45826,Recurring Deposit,19-09-2024
300225,202659,Current,66017,3993,13426,Mutual Fund,28-07-2024
300226,201507,Business,28843,1012,40145,Mutual Fund,13-03-2023
300227,207089,Current,95422,3869,22019,Mutual Fund,20-09-2024
300228,204961,Current,74416,3504,46858,Mutual Fund,26-02-2023
300229,202020,Business,7258,290,49401,Recurring Deposit,01-04-2022
300230,200154,Current,5898,1487,25708,Mutual Fund,09-07-2022
300231,208733,Business,92274,1494,49517,Recurring Deposit,25-11-2024
300232,207378,Savings,47608,3595,33597,Mutual Fund,20-06-2022
300233,207892,Current,26169,3246,32389,Recurring Deposit,11-03-2023
300234,201604,Current,36353,2695.241308,44345,Mutual Fund,03-07-2022
300235,209876,Savings,91621,447,43476,Recurring Deposit,08-05-2022
300236,202536,Current,20952,3801,47912,Fixed Deposit,16-08-2023
300237,209471,Savings,70145,4658,2385,Fixed Deposit,09-07-2022
300238,202899,Business,66848,1893.796634,16535,Recurring Deposit,27-05-2024
300239,205861,Savings,53343,939,46679,Mutual Fund,25-03-2023
300240,205278,Business,78021,4905,25144,Fixed Deposit,27-05-2023
300241,200868,Savings,86582,3139,32943,Fixed Deposit,23-01-2025
300242,203013,Savings,99286,534,9465,Recurring Deposit,13-04-2024
300243,203310,Savings,8208,1087,49288,Recurring Deposit,16-02-2023
300244,200682,Current,47747,2013,47685,Recurring Deposit,05-07-2024
300245,201461,Current,23516,3425,38384,Recurring Deposit,12-10-2022
300246,203829,Current,96634,3108,19099,Recurring Deposit,24-08-2024
300247,200145,Current,60392,385,4082,Fixed Deposit,01-09-2024
300248,201974,Business,29705,4139,20907,Recurring Deposit,24-03-2024
300249,205627,Savings,14157,1675,25065,Mutual Fund,02-04-2023
300250,201820,Business,65855,728,28418,Recurring Deposit,24-03-2024
300251,206267,Savings,93584,3697,8569,Mutual Fund,13-12-2023
300252,207868,Savings,90943,4751,3404,Fixed Deposit,10-01-2023
300253,206962,Business,47846,4927,11913,Fixed Deposit,14-08-2022
300254,206475,Savings,18993,4869,17821,Recurring Deposit,18-08-2022
300255,208796,Current,38379,266,42994,Fixed Deposit,07-01-2025
300256,206332,Current,14332,2791,40158,Fixed Deposit,19-01-2024
300257,201606,Business,14119,1534,2473,Mutual Fund,22-09-2023
300258,204239,Business,97409,4493,46342,Fixed Deposit,08-01-2024
300259,201547,Business,16205,3310,42899,Recurring Deposit,19-12-2023
300260,206973,Current,44251,3033,29727,Fixed Deposit,15-03-2024
300261,202772,Savings,72630,3477,1344,Fixed Deposit,13-06-2022
300262,201987,Business,96127,664,8401,Mutual Fund,30-01-2025
300263,209577,Savings,76273,2308.935808,1146,Mutual Fund,30-12-2024
300264,202896,Savings,59978,1450,44295,Recurring Deposit,18-12-2024
300265,206975,Business,16824,689,30091,Fixed Deposit,20-08-2022
300266,208174,Business,9223,3040,22062,Fixed Deposit,23-06-2022
300267,209137,Current,3632,2992,37493,Mutual Fund,06-12-2023
300268,209497,Business,52614,553,32404,Fixed Deposit,30-08-2023
300269,206582,Current,7376,3806,25832,Mutual Fund,06-09-2022
300270,208350,Current,24042,3692,12443,Recurring Deposit,11-04-2023
300271,206013,Savings,33871,2337,24713,Mutual Fund,12-01-2023
300272,201350,Current,7178,1094,41847,Recurring Deposit,10-01-2023
300273,207684,Savings,99930,982,4934,Fixed Deposit,01-07-2024
300274,207057,Current,40221,659,45673,Fixed Deposit,15-02-2024
300275,209846,Business,97972,4541,19621,Mutual Fund,24-10-2022
300276,207985,Savings,61245,679,30515,Recurring Deposit,05-01-2024
300277,205875,Business,49239,959,48502,Mutual Fund,31-12-2022
300278,207280,Savings,27009,1534,49591,Fixed Deposit,27-05-2023
300279,203030,Current,95802,3030,32503,Mutual Fund,08-03-2024
300280,200675,Savings,53445,2474,8067,Fixed Deposit,13-04-2023
300281,200368,Business,74057,1436,12909,Mutual Fund,16-07-2022
300282,206770,Savings,13955,4549,7938,Recurring Deposit,07-02-2024
300283,209395,Business,82660,1114,10936,Recurring Deposit,22-07-2024
300284,203360,Savings,41673,795,45938,Recurring Deposit,20-08-2022
300285,201471,Current,56535,4717,30324,Mutual Fund,07-06-2022
300286,205351,Savings,70232,3115,42548,Fixed Deposit,28-12-2024
300287,201348,Business,83298,4451,38191,Mutual Fund,07-07-2024
300288,203016,Current,86135,3850,41984,Fixed Deposit,12-04-2022
300289,200669,Savings,95127,3914,25187,Recurring Deposit,12-08-2022
300290,205727,Current,87258,4980,15890,Recurring Deposit,23-03-2023
300291,201254,Business,44487,4277,16659,Mutual Fund,04-12-2022
300292,202008,Current,70456,1349,3003,Fixed Deposit,12-12-2023
300293,200826,Business,18099,1094,40379,Fixed Deposit,13-04-2024
300294,202311,Savings,14323,1446,17681,Fixed Deposit,06-04-2024
300295,208641,Business,4641,943,30594,Mutual Fund,16-02-2023
300296,208740,Business,24334,775,20087,Fixed Deposit,03-12-2023
300297,201634,Business,22253,262,7519,Mutual Fund,20-06-2022
300298,207908,Business,94191,4313,43511,Recurring Deposit,01-12-2022
300299,203669,Savings,58413,2771,32789,Recurring Deposit,30-10-2023
300300,209830,Business,26949,958,16875,Recurring Deposit,24-03-2022
300301,204719,Business,72740,511,4586,Recurring Deposit,17-11-2023
300302,204448,Savings,86245,1949,5445,Mutual Fund,06-05-2023
300303,201007,Business,68922,2614,29946,Mutual Fund,25-02-2024
300304,201010,Savings,73541,670,28932,Mutual Fund,07-06-2023
300305,207664,Savings,23488,3208,19933,Recurring Deposit,07-01-2024
300306,202800,Business,36119,3275,44888,Recurring Deposit,07-03-2025
300307,208501,Current,43861,3919,6355,Fixed Deposit,31-07-2024
300308,207727,Savings,36434,3721,47656,Mutual Fund,12-01-2025
300309,207528,Savings,39263,1093,5372,Fixed Deposit,15-04-2024
300310,208347,Current,72963,2816.881414,30408,Recurring Deposit,16-11-2022
300311,209828,Current,77833,1267,17906,Fixed Deposit,09-01-2023
300312,205057,Business,16672,922,17994,Recurring Deposit,24-06-2023
300313,204461,Current,78378,4445,47499,Fixed Deposit,22-02-2023
300314,203152,Savings,50433,487,5134,Mutual Fund,19-06-2022
300315,207807,Current,44710,2898,26137,Recurring Deposit,05-09-2024
300316,207838,Savings,42621,3466,20227,Mutual Fund,10-07-2024
300317,203130,Business,75207,146,3067,Mutual Fund,23-06-2022
300318,209452,Current,7762,703,35470,Fixed Deposit,21-07-2023
300319,204567,Current,42508,3860,30162,Recurring Deposit,17-06-2022
300320,205534,Business,75370,1161,14720,Fixed Deposit,06-06-2022
300321,204469,Business,59331,1185,35686,Mutual Fund,13-09-2024
300322,203380,Current,97089,4768,15076,Recurring Deposit,30-03-2024
300323,201630,Current,17329,580,32917,Fixed Deposit,10-05-2024
300324,209337,Current,90151,1131,19119,Mutual Fund,23-06-2024
300325,206776,Current,50515,3977,17159,Mutual Fund,20-11-2022
300326,200035,Savings,4687,1229,25510,Fixed Deposit,17-06-2022
300327,200724,Current,56702,4487,3927,Mutual Fund,17-05-2024
300328,209668,Savings,81838,2104,40793,Mutual Fund,23-07-2022
300329,202506,Business,54217,2715,22803,Fixed Deposit,03-01-2023
300330,203297,Savings,82749,3728,20368,Fixed Deposit,05-07-2022
300331,200890,Business,80411,631,7739,Mutual Fund,30-09-2024
300332,201400,Current,80114,4130,43232,Fixed Deposit,04-07-2022
300333,207919,Business,52464,1998,24560,Mutual Fund,01-02-2025
300334,209218,Business,98156,303,42332,Recurring Deposit,21-03-2023
300335,204101,Savings,92461,1836,17844,Mutual Fund,08-12-2023
300336,207571,Business,96814,434,2061,Fixed Deposit,23-09-2022
300337,202660,Current,48054,3173,3171,Fixed Deposit,21-08-2024
300338,205958,Current,67126,1335,4933,Mutual Fund,07-04-2023
300339,203749,Business,47901,4081,21004,Mutual Fund,05-09-2024
300340,208867,Business,96624,4338,35089,Mutual Fund,29-09-2024
300341,208709,Current,56110,2240,28798,Recurring Deposit,21-05-2022
300342,204479,Current,90067,4317,6194,Fixed Deposit,07-11-2024
300343,207105,Current,26259,824,13278,Recurring Deposit,26-07-2022
300344,206633,Savings,63156,493,6775,Fixed Deposit,01-01-2024
300345,206694,Savings,77437,1563,47555,Recurring Deposit,05-01-2025
300346,205394,Current,24349,2072,9060,Mutual Fund,12-09-2024
300347,204703,Current,17317,2397,37465,Recurring Deposit,15-08-2024
300348,208353,Savings,40345,2973,43087,Mutual Fund,10-06-2024
300349,200600,Current,35922,3401,12418,Fixed Deposit,25-07-2023
300350,209751,Current,19457,4664,47537,Mutual Fund,30-04-2023
300351,208856,Savings,64669,1990,20245,Fixed Deposit,01-02-2023
300352,204957,Savings,70544,4687,23035,Fixed Deposit,24-01-2025
300353,206173,Savings,3686,4660,43330,Mutual Fund,22-07-2023
300354,204576,Current,56673,1885,26429,Fixed Deposit,26-03-2023
300355,204316,Current,25199,2255,16788,Fixed Deposit,07-05-2023
300356,207733,Current,24575,1185,19719,Fixed Deposit,25-11-2023
300357,206263,Current,16335,2204,8455,Recurring Deposit,10-10-2022
300358,209964,Savings,9460,1058,40542,Recurring Deposit,27-01-2025
300359,206012,Business,68914,2279,21656,Fixed Deposit,17-12-2024
300360,207940,Current,57549,1201,45005,Recurring Deposit,30-06-2023
300361,206657,Current,46164,4062,28687,Recurring Deposit,29-02-2024
300362,201390,Current,53411,1095,15340,Mutual Fund,25-07-2023
300363,207247,Savings,71797,1285,4175,Mutual Fund,11-07-2022
300364,207526,Business,86037,1931,49629,Fixed Deposit,04-04-2022
300365,204286,Current,58586,626,26352,Mutual Fund,01-03-2024
300366,209909,Savings,39638,2966,30126,Fixed Deposit,09-11-2024
300367,201957,Current,97396,1143,11897,Fixed Deposit,11-08-2024
300368,209851,Current,71807,1784,35733,Mutual Fund,23-08-2022
300369,203088,Current,28023,1339,29391,Mutual Fund,12-07-2022
300370,205189,Business,87556,2157,28648,Mutual Fund,03-07-2024
300371,201827,Savings,3066,199,14552,Fixed Deposit,15-02-2023
300372,209308,Business,65080,1516,37217,Fixed Deposit,14-05-2024
300373,202005,Savings,29603,2873,4789,Recurring Deposit,06-05-2023
300374,201161,Savings,56229,2061,1727,Fixed Deposit,12-10-2022
300375,206590,Current,70086,200,3553,Mutual Fund,14-09-2023
300376,200167,Current,53399,3175,2744,Fixed Deposit,05-07-2022
300377,208480,Business,74948,4346,20024,Mutual Fund,04-04-2023
300378,201037,Savings,48391,2189,23763,Mutual Fund,16-10-2023
300379,206198,Business,25144,4153,14844,Fixed Deposit,06-06-2023
300380,204823,Current,99886,1061,37207,Mutual Fund,21-11-2022
300381,207528,Business,90829,3800,32522,Fixed Deposit,30-01-2024
300382,203973,Current,21804,3063,34977,Mutual Fund,11-07-2024
300383,209376,Business,44959,4045,39777,Fixed Deposit,17-03-2025
300384,209674,Business,24162,3707,35529,Recurring Deposit,03-07-2023
300385,200199,Business,51592,3407,23732,Fixed Deposit,26-10-2024
300386,208526,Business,95703,4319,23669,Mutual Fund,30-12-2024
300387,203413,Savings,32181,2660,39467,Mutual Fund,19-06-2024
300388,200178,Business,19810,1518,21861,Fixed Deposit,02-04-2022
300389,208641,Current,59977,2818,35775,Mutual Fund,21-01-2025
300390,201724,Savings,74916,4725,44141,Recurring Deposit,29-07-2024
300391,201179,Savings,57963,186.8810085,15739,Fixed Deposit,29-06-2023
300392,204835,Savings,79272,4698,3911,Recurring Deposit,14-01-2025
300393,200867,Savings,18025,2932,33278,Recurring Deposit,28-08-2022
300394,200977,Savings,97604,4307,35829,Fixed Deposit,15-10-2022
300395,203640,Business,5793,3183,8509,Recurring Deposit,05-05-2023
300396,208857,Business,70659,3509,25272,Mutual Fund,16-09-2022
300397,200782,Business,7816,2127,41754,Recurring Deposit,03-09-2022
300398,204297,Current,57598,2551,4841,Mutual Fund,27-07-2024
300399,208038,Current,4667,2665,3786,Recurring Deposit,17-11-2022
300400,206732,Business,56158,451,16459,Fixed Deposit,18-05-2023
300401,209679,Business,77847,2093,44697,Mutual Fund,01-06-2023
300402,203550,Savings,66526,1247,19573,Recurring Deposit,15-10-2024
300403,208000,Business,86374,3020,38395,Mutual Fund,11-02-2023
300404,207536,Current,67554,2608.405172,11459,Fixed Deposit,04-09-2023
300405,203450,Savings,26132,3010,42272,Mutual Fund,31-01-2023
300406,208314,Business,65415,3579,40160,Mutual Fund,20-02-2025
300407,206197,Savings,42774,4480,2771,Mutual Fund,30-11-2024
